cidade,aids
150680 Santarém,586
150690 Santarém Novo,3
150700 Santo Antônio do Tauá,31
150710 São Caetano de Odivelas,24
150715 São Domingos do Araguaia,21
150720 São Domingos do Capim,9
150730 São Félix do Xingu,47
150740 São Francisco do Pará,19
150745 São Geraldo do Araguaia,22
150746 São João da Ponta,8
150747 São João de Pirabas,24
150750 São João do Araguaia,11
150760 São Miguel do Guamá,65
150770 São Sebastião da Boa Vista,10
150775 Sapucaia,10
150780 Senador José Porfírio,4
150790 Soure,55
150795 Tailândia,100
150796 Terra Alta,10
150797 Terra Santa,9
150800 Tomé-Açu,69
150803 Tracuateua,16
150805 Trairão,13
150808 Tucumã,25
150810 Tucuruí,149
150812 Ulianópolis,41
150815 Uruará,19
150820 Vigia,91
150830 Viseu,19
150835 Vitória do Xingu,5
150840 Xinguara,29
150000 Município ignorado - PA,4
160010 Amapá,7
160020 Calçoene,11
160021 Cutias,4
160023 Ferreira Gomes,8
160025 Itaubal,2
160027 Laranjal do Jari,50
160030 Macapá,764
160040 Mazagão,11
160050 Oiapoque,26
160015 Pedra Branca do Amapari,8
160053 Porto Grande,22
160055 Pracuúba,1
160060 Santana,105
160005 Serra do Navio,1
160070 Tartarugalzinho,7
160080 Vitória do Jari,8
170030 Aguiarnópolis,7
170035 Aliança do Tocantins,4
170040 Almas,3
170070 Alvorada,7
170100 Ananás,9
170110 Aparecida do Rio Negro,2
170130 Aragominas,2
170200 Araguaçu,4
170210 Araguaína,211
170215 Araguanã,1
170220 Araguatins,18
170230 Arapoema,11
170240 Arraias,1
170255 Augustinópolis,11
170270 Aurora do Tocantins,1
170290 Axixá do Tocantins,10
170300 Babaçulândia,2
170310 Barrolândia,1
170320 Bernardo Sayão,3
170330 Bom Jesus do Tocantins,2
170370 Brejinho de Nazaré,5
170380 Buriti do Tocantins,1
170382 Cachoeirinha,1
170384 Campos Lindos,7
170388 Carmolândia,1
170389 Carrasco Bonito,2
170390 Caseara,1
170510 Chapada da Natividade,1
170550 Colinas do Tocantins,28
171670 Colméia,5
170600 Couto de Magalhães,8
170610 Cristalândia,1
170650 Darcinópolis,1
170700 Dianópolis,13
170710 Divinópolis do Tocantins,3
170720 Dois Irmãos do Tocantins,1
170730 Dueré,2
170740 Esperantina,6
170765 Figueirópolis,5
170770 Filadélfia,5
170820 Formoso do Araguaia,5
170825 Fortaleza do Tabocão,2
170900 Goiatins,2
170930 Guaraí,14
170950 Gurupi,82
171070 Itaguatins,1
171180 Juarina,1
171190 Lagoa da Confusão,13
171195 Lagoa do Tocantins,1
171200 Lajeado,1
171245 Luzinópolis,1
171250 Marianópolis do Tocantins,6
171280 Maurilândia do Tocantins,1
171320 Miracema do Tocantins,4
171330 Miranorte,4
171370 Monte Santo do Tocantins,1
171420 Natividade,4
171430 Nazaré,2
171488 Nova Olinda,10
171500 Nova Rosalândia,2
171510 Novo Acordo,3
171525 Novo Jardim,1
172100 Palmas,329
171570 Palmeirante,3
171380 Palmeiras do Tocantins,2
171575 Palmeirópolis,5
171610 Paraíso do Tocantins,56
171620 Paranã,1
171650 Pedro Afonso,6
171660 Peixe,6
171665 Pequizeiro,2
171720 Piraquê,2
171750 Pium,2
171800 Porto Alegre do Tocantins,2
171820 Porto Nacional,16
171830 Praia Norte,2
171840 Presidente Kennedy,1
171845 Pugmil,6
171850 Recursolândia,1
171855 Riachinho,4
171870 Rio dos Bois,3
171875 Rio Sono,1
171880 Sampaio,3
171884 Sandolândia,1
171886 Santa Fé do Araguaia,2
171889 Santa Rita do Tocantins,1
171890 Santa Rosa do Tocantins,2
172000 Santa Terezinha do Tocantins,1
172010 São Bento do Tocantins,2
172020 São Miguel do Tocantins,6
172030 São Sebastião do Tocantins,6
172049 São Valério da Natividade,1
172065 Silvanópolis,2
172080 Sítio Novo do Tocantins,3
172090 Taguatinga,3
172097 Talismã,1
172110 Tocantínia,2
172120 Tocantinópolis,10
172208 Wanderlândia,8
172210 Xambioá,13
170000 Município ignorado - TO,1
210005 Açailândia,74
210010 Afonso Cunha,2
210015 Água Doce do Maranhão,4
210020 Alcântara,19
210030 Aldeias Altas,17
210040 Altamira do Maranhão,10
210043 Alto Alegre do Maranhão,50
210047 Alto Alegre do Pindaré,14
210050 Alto Parnaíba,2
210055 Amapá do Maranhão,5
210060 Amarante do Maranhão,10
210070 Anajatuba,8
210080 Anapurus,10
210083 Apicum-Açu,21
210087 Araguanã,3
210090 Araioses,9
210095 Arame,9
210100 Arari,15
210110 Axixá,2
210120 Bacabal,188
210125 Bacabeira,22
210130 Bacuri,16
210135 Bacurituba,2
210140 Balsas,68
210150 Barão de Grajaú,6
210160 Barra do Corda,90
210170 Barreirinhas,69
210177 Bela Vista do Maranhão,3
210173 Belágua,1
210190 Bequimão,19
210193 Bernardo do Mearim,5
210197 Boa Vista do Gurupi,3
210200 Bom Jardim,24
210203 Bom Jesus das Selvas,22
210207 Bom Lugar,6
210210 Brejo,4
210220 Buriti,8
210230 Buriti Bravo,12
210232 Buriticupu,58
210235 Buritirana,11
210237 Cachoeira Grande,2
210240 Cajapió,3
210250 Cajari,4
210255 Campestre do Maranhão,14
210260 Cândido Mendes,15
210270 Cantanhede,11
210275 Capinzal do Norte,5
210280 Carolina,17
210290 Carutapera,22
210300 Caxias,181
210310 Cedral,15
210312 Central do Maranhão,2
210315 Centro do Guilherme,11
210317 Centro Novo do Maranhão,6
210320 Chapadinha,34
210325 Cidelândia,9
210330 Codó,216
210340 Coelho Neto,39
210350 Colinas,31
210355 Conceição do Lago-Açu,10
210360 Coroatá,55
210370 Cururupu,41
210375 Davinópolis,10
210380 Dom Pedro,13
210390 Duque Bacelar,6
210400 Esperantinópolis,8
210405 Estreito,34
210409 Formosa da Serra Negra,8
210410 Fortaleza dos Nogueiras,2
210420 Fortuna,13
210430 Godofredo Viana,4
210440 Gonçalves Dias,7
210450 Governador Archer,4
210455 Governador Edison Lobão,7
210460 Governador Eugênio Barros,13
210462 Governador Luiz Rocha,5
210465 Governador Newton Bello,5
210467 Governador Nunes Freire,34
210470 Graça Aranha,2
210480 Grajaú,47
210490 Guimarães,14
210500 Humberto de Campos,16
210510 Icatu,11
210515 Igarapé do Meio,7
210520 Igarapé Grande,14
210530 Imperatriz,347
210535 Itaipava do Grajaú,8
210540 Itapecuru Mirim,47
210542 Itinga do Maranhão,21
210545 Jatobá,6
210547 Jenipapo dos Vieiras,6
210550 João Lisboa,19
210560 Joselândia,7
210565 Junco do Maranhão,2
210570 Lago da Pedra,23
210580 Lago do Junco,4
210594 Lago dos Rodrigues,5
210590 Lago Verde,6
210596 Lagoa Grande do Maranhão,1
210598 Lajeado Novo,5
210600 Lima Campos,6
210610 Loreto,1
210620 Luís Domingues,3
210630 Magalhães de Almeida,2
210632 Maracaçumé,23
210635 Marajá do Sena,3
210637 Maranhãozinho,6
210640 Mata Roma,5
210650 Matinha,13
210660 Matões,12
210663 Matões do Norte,8
210667 Milagres do Maranhão,3
210670 Mirador,8
210675 Miranda do Norte,21
210680 Mirinzal,15
210690 Monção,6
210700 Montes Altos,4
210710 Morros,6
210720 Nina Rodrigues,2
210725 Nova Colinas,1
210735 Nova Olinda do Maranhão,12
210740 Olho d'Água das Cunhãs,15
210745 Olinda Nova do Maranhão,4
210750 Paço do Lumiar,208
210760 Palmeirândia,7
210770 Paraibano,14
210780 Parnarama,4
210790 Passagem Franca,5
210800 Pastos Bons,12
210805 Paulino Neves,9
210810 Paulo Ramos,7
210820 Pedreiras,66
210825 Pedro do Rosário,13
210830 Penalva,24
210840 Peri Mirim,12
210845 Peritoró,20
210850 Pindaré-Mirim,16
210860 Pinheiro,103
210870 Pio XII,33
210880 Pirapemas,31
210890 Poção de Pedras,6
210900 Porto Franco,18
210905 Porto Rico do Maranhão,5
210910 Presidente Dutra,36
210923 Presidente Médici,7
210927 Presidente Sarney,6
210930 Presidente Vargas,7
210940 Primeira Cruz,8
210945 Raposa,64
210950 Riachão,5
210955 Ribamar Fiquene,4
210960 Rosário,42
210970 Sambaíba,1
210980 Santa Helena,67
210990 Santa Inês,70
211000 Santa Luzia,51
211003 Santa Luzia do Paruá,11
211010 Santa Quitéria do Maranhão,11
211020 Santa Rita,29
211023 Santana do Maranhão,4
211027 Santo Amaro do Maranhão,4
211030 Santo Antônio dos Lopes,12
211040 São Benedito do Rio Preto,7
211050 São Bento,21
211060 São Bernardo,10
211065 São Domingos do Azeitão,3
211070 São Domingos do Maranhão,31
211085 São Francisco do Brejão,5
211090 São Francisco do Maranhão,5
211100 São João Batista,8
211102 São João do Carú,2
211105 São João do Paraíso,2
211107 São João do Soter,8
211110 São João dos Patos,23
211120 São José de Ribamar,326
211125 São José dos Basílios,3
211130 São Luís,2381
211140 São Luís Gonzaga do Maranhão,18
211150 São Mateus do Maranhão,68
211153 São Pedro da Água Branca,17
211160 São Raimundo das Mangabeiras,9
211163 São Raimundo do Doca Bezerra,3
211167 São Roberto,1
211170 São Vicente Ferrer,7
211172 Satubinha,3
211174 Senador Alexandre Costa,1
211176 Senador La Rocque,10
211178 Serrano do Maranhão,11
211180 Sítio Novo,6
211190 Sucupira do Norte,1
211200 Tasso Fragoso,3
211210 Timbiras,21
211220 Timon,147
211223 Trizidela do Vale,26
211227 Tufilândia,3
211230 Tuntum,13
211240 Turiaçu,26
211245 Turilândia,17
211250 Tutóia,32
211260 Urbano Santos,18
211270 Vargem Grande,21
211280 Viana,41
211285 Vila Nova dos Martírios,8
211290 Vitória do Mearim,30
211300 Vitorino Freire,26
211400 Zé Doca,23
220020 Água Branca,11
220027 Alegrete do Piauí,2
220030 Alto Longá,6
220040 Altos,42
220050 Amarante,10
220060 Angical do Piauí,2
220070 Anísio de Abreu,2
220080 Antônio Almeida,2
220100 Arraial,1
220110 Avelino Lopes,2
220115 Baixa Grande do Ribeiro,3
220120 Barras,27
220140 Barro Duro,4
220150 Batalha,2
220157 Belém do Piauí,2
220160 Beneditinos,4
220170 Bertolínia,2
220177 Boa Hora,1
220180 Bocaina,4
220190 Bom Jesus,11
220191 Bom Princípio do Piauí,2
220196 Brasileira,3
220200 Buriti dos Lopes,15
220205 Cabeceiras do Piauí,7
220207 Cajazeiras do Piauí,1
220208 Cajueiro da Praia,3
220213 Campo Grande do Piauí,3
220220 Campo Maior,38
220230 Canto do Buriti,5
220240 Capitão de Campos,5
220250 Caracol,2
220253 Caraúbas do Piauí,1
220255 Caridade do Piauí,3
220260 Castelo do Piauí,9
220270 Cocal,3
220271 Cocal de Telha,1
220273 Coivaras,2
220275 Colônia do Gurguéia,2
220277 Colônia do Piauí,4
220290 Corrente,7
220300 Cristalândia do Piauí,1
220310 Cristino Castro,1
220320 Curimatá,1
220323 Currais,1
220330 Demerval Lobão,23
220335 Dirceu Arcoverde,2
220340 Dom Expedito Lopes,3
220342 Domingos Mourão,2
220350 Elesbão Veloso,12
220370 Esperantina,17
220380 Flores do Piauí,2
220390 Floriano,35
220400 Francinópolis,3
220415 Francisco Macedo,1
220430 Fronteiras,1
220435 Geminiano,1
220450 Guadalupe,8
220465 Ilha Grande,5
220470 Inhuma,7
220480 Ipiranga do Piauí,8
220490 Isaías Coelho,1
220500 Itainópolis,1
220520 Jaicós,4
220525 Jardim do Mulato,1
220540 Joaquim Pires,1
220545 Joca Marques,1
220550 José de Freitas,19
220551 Juazeiro do Piauí,1
220553 Jurema,1
220555 Lagoa Alegre,1
220559 Lagoa do Sítio,1
220554 Lagoinha do Piauí,2
220560 Landri Sales,3
220570 Luís Correia,13
220580 Luzilândia,22
220585 Madeiro,1
220595 Marcolândia,5
220600 Marcos Parente,2
220610 Matias Olímpio,6
220620 Miguel Alves,18
220630 Miguel Leão,1
220640 Monsenhor Gil,4
220650 Monsenhor Hipólito,1
220660 Monte Alegre do Piauí,1
220667 Morro do Chapéu do Piauí,1
220669 Murici dos Portelas,3
220670 Nazaré do Piauí,1
220680 Nossa Senhora dos Remédios,1
220795 Nova Santa Rita,1
220690 Novo Oriente do Piauí,3
220695 Novo Santo Antônio,1
220700 Oeiras,32
220710 Olho D'Água do Piauí,1
220730 Paes Landim,1
220750 Palmeirais,4
220755 Paquetá,2
220770 Parnaíba,125
220775 Passagem Franca do Piauí,1
220780 Paulistana,5
220790 Pedro II,13
220800 Picos,42
220810 Pimenteiras,1
220820 Pio IX,5
220830 Piracuruca,15
220840 Piripiri,70
220850 Porto,3
220855 Porto Alegre do Piauí,1
220880 Regeneração,12
220890 Ribeiro Gonçalves,1
220900 Rio Grande do Piauí,5
220910 Santa Cruz do Piauí,1
220937 Santa Rosa do Piauí,1
220940 Santo Antônio de Lisboa,8
220950 Santo Inácio do Piauí,1
220955 São Braz do Piauí,2
220960 São Félix do Piauí,1
220965 São Francisco de Assis do Piauí,1
220970 São Francisco do Piauí,1
220975 São Gonçalo do Gurguéia,1
220980 São Gonçalo do Piauí,1
220985 São João da Canabrava,2
220987 São João da Fronteira,3
220990 São João da Serra,2
220995 São João da Varjota,3
220997 São João do Arraial,3
221000 São João do Piauí,4
221005 São José do Divino,2
221010 São José do Peixe,2
221035 São Lourenço do Piauí,2
221037 São Luis do Piauí,2
221038 São Miguel da Baixa Grande,4
221039 São Miguel do Fidalgo,2
221040 São Miguel do Tapuio,5
221050 São Pedro do Piauí,3
221060 São Raimundo Nonato,6
221063 Sebastião Leal,1
221065 Sigefredo Pacheco,1
221070 Simões,2
221080 Simplício Mendes,6
221090 Socorro do Piauí,2
221093 Sussuapara,1
221100 Teresina,1116
221110 União,15
221120 Uruçuí,9
221130 Valença do Piauí,15
221140 Várzea Grande,3
221150 Vera Mendes,3
221170 Wall Ferraz,4
230010 Abaiara,1
230015 Acarape,6
230020 Acaraú,34
230030 Acopiara,13
230040 Aiuaba,2
230050 Alcântaras,6
230060 Altaneira,1
230075 Amontada,3
230080 Antonina do Norte,1
230090 Apuiarés,4
230100 Aquiraz,97
230110 Aracati,72
230120 Aracoiaba,10
230125 Ararendá,1
230130 Araripe,15
230140 Aratuba,4
230150 Arneiroz,5
230160 Assaré,4
230170 Aurora,6
230180 Baixio,1
230185 Banabuiú,3
230190 Barbalha,19
230195 Barreira,9
230200 Barro,6
230205 Barroquinha,12
230210 Baturité,16
230220 Beberibe,30
230230 Bela Cruz,7
230240 Boa Viagem,12
230250 Brejo Santo,14
230260 Camocim,22
230270 Campos Sales,4
230280 Canindé,51
230290 Capistrano,5
230300 Caridade,3
230310 Cariré,3
230320 Caririaçu,6
230330 Cariús,6
230340 Carnaubal,2
230350 Cascavel,52
230360 Catarina,2
230365 Catunda,3
230370 Caucaia,338
230380 Cedro,7
230390 Chaval,3
230393 Choró,2
230395 Chorozinho,15
230400 Coreaú,3
230410 Crateús,30
230420 Crato,80
230423 Croatá,5
230425 Cruz,7
230427 Ererê,3
230428 Eusébio,52
230430 Farias Brito,2
230435 Forquilha,10
230440 Fortaleza,3648
230445 Fortim,7
230450 Frecheirinha,6
230460 General Sampaio,2
230465 Graça,6
230470 Granja,7
230490 Groaíras,6
230495 Guaiúba,13
230500 Guaraciaba do Norte,18
230510 Guaramiranga,2
230520 Hidrolândia,3
230523 Horizonte,54
230526 Ibaretama,3
230530 Ibiapina,3
230533 Ibicuitinga,3
230535 Icapuí,7
230540 Icó,7
230550 Iguatu,85
230560 Independência,9
230565 Ipaporanga,1
230570 Ipaumirim,4
230580 Ipu,9
230590 Ipueiras,15
230600 Iracema,1
230610 Irauçuba,5
230620 Itaiçaba,3
230625 Itaitinga,71
230630 Itapagé,8
230640 Itapipoca,65
230650 Itapiúna,8
230655 Itarema,10
230660 Itatira,9
230670 Jaguaretama,4
230690 Jaguaribe,24
230700 Jaguaruana,6
230710 Jardim,3
230720 Jati,7
230725 Jijoca de Jericoacoara,10
230730 Juazeiro do Norte,163
230740 Jucás,5
230750 Lavras da Mangabeira,5
230760 Limoeiro do Norte,17
230763 Madalena,5
230765 Maracanaú,229
230770 Maranguape,51
230780 Marco,6
230790 Martinópole,2
230800 Massapê,7
230810 Mauriti,9
230820 Meruoca,2
230830 Milagres,5
230835 Milhã,8
230837 Miraíma,4
230840 Missão Velha,22
230850 Mombaça,15
230860 Monsenhor Tabosa,4
230870 Morada Nova,14
230880 Moraújo,1
230890 Morrinhos,3
230900 Mucambo,9
230910 Mulungu,4
230920 Nova Olinda,1
230930 Nova Russas,12
230940 Novo Oriente,7
230945 Ocara,10
230950 Orós,15
230960 Pacajus,72
230970 Pacatuba,53
230980 Pacoti,9
230990 Pacujá,4
231000 Palhano,5
231010 Palmácia,7
231020 Paracuru,29
231025 Paraipaba,13
231030 Parambu,14
231040 Paramoti,6
231050 Pedra Branca,10
231060 Penaforte,4
231070 Pentecoste,26
231080 Pereiro,7
231085 Pindoretama,19
231090 Piquet Carneiro,4
231095 Pires Ferreira,3
231100 Poranga,5
231110 Porteiras,3
231120 Potengi,2
231126 Quiterianópolis,4
231130 Quixadá,30
231140 Quixeramobim,14
231150 Quixeré,5
231160 Redenção,18
231170 Reriutaba,5
231180 Russas,40
231190 Saboeiro,4
231195 Salitre,2
231220 Santa Quitéria,8
231200 Santana do Acaraú,3
231230 São Benedito,15
231240 São Gonçalo do Amarante,48
231250 São João do Jaguaribe,1
231260 São Luís do Curu,5
231270 Senador Pompeu,8
231290 Sobral,146
231300 Solonópole,4
231310 Tabuleiro do Norte,12
231320 Tamboril,8
231325 Tarrafas,1
231330 Tauá,22
231335 Tejuçuoca,2
231340 Tianguá,19
231350 Trairi,24
231355 Tururu,7
231360 Ubajara,3
231370 Umari,1
231375 Umirim,13
231380 Uruburetama,20
231390 Uruoca,5
231395 Varjota,3
231400 Várzea Alegre,7
231410 Viçosa do Ceará,20
240010 Acari,1
240020 Açu,57
240030 Afonso Bezerra,2
240040 Água Nova,1
240050 Alexandria,3
240060 Almino Afonso,1
240070 Alto do Rodrigues,6
240080 Angicos,19
240090 Antônio Martins,1
240100 Apodi,13
240110 Areia Branca,17
240120 Arês,4
240130 Augusto Severo,2
240140 Baía Formosa,6
240145 Baraúna,21
240150 Barcelona,6
240160 Bento Fernandes,1
240165 Bodó,2
240170 Bom Jesus,3
240180 Brejinho,2
240185 Caiçara do Norte,1
240200 Caicó,27
240210 Campo Redondo,3
240220 Canguaretama,60
240230 Caraúbas,8
240240 Carnaúba dos Dantas,4
240250 Carnaubais,5
240260 Ceará-Mirim,36
240270 Cerro Corá,4
240280 Coronel Ezequiel,2
240310 Currais Novos,21
240330 Encanto,2
240340 Equador,1
240350 Espírito Santo,5
240360 Extremoz,62
240370 Felipe Guerra,2
240375 Fernando Pedroza,2
240380 Florânia,1
240390 Francisco Dantas,2
240400 Frutuoso Gomes,5
240410 Galinhos,1
240420 Goianinha,14
240430 Governador Dix-Sept Rosado,8
240440 Grossos,12
240450 Guamaré,24
240460 Ielmo Marinho,2
240470 Ipanguaçu,10
240480 Ipueira,1
240485 Itajá,10
240490 Itaú,5
240500 Jaçanã,4
240510 Jandaíra,6
240530 Januário Cicco,1
240540 Japi,3
240560 Jardim de Piranhas,14
240570 Jardim do Seridó,3
240580 João Câmara,22
240600 José da Penha,2
240610 Jucurutu,6
240630 Lagoa de Pedras,2
240640 Lagoa de Velhos,2
240650 Lagoa Nova,3
240660 Lagoa Salgada,3
240670 Lajes,8
240680 Lajes Pintadas,1
240690 Lucrécia,1
240700 Luís Gomes,2
240710 Macaíba,69
240720 Macau,32
240725 Major Sales,3
240730 Marcelino Vieira,1
240740 Martins,3
240750 Maxaranguape,2
240760 Messias Targino,2
240770 Montanhas,5
240780 Monte Alegre,9
240800 Mossoró,349
240810 Natal,1293
240820 Nísia Floresta,19
240830 Nova Cruz,27
240840 Olho-d'Água do Borges,1
240850 Ouro Branco,1
240860 Paraná,2
240870 Paraú,2
240880 Parazinho,1
240890 Parelhas,7
240325 Parnamirim,258
240910 Passa e Fica,7
240930 Patu,5
240940 Pau dos Ferros,20
240950 Pedra Grande,1
240970 Pedro Avelino,4
240980 Pedro Velho,4
240990 Pendências,10
241000 Pilões,1
241010 Poço Branco,4
241020 Portalegre,3
241030 Presidente Juscelino,10
241040 Pureza,2
241050 Rafael Fernandes,7
241090 Riachuelo,4
240895 Rio do Fogo,2
241100 Rodolfo Fernandes,1
241110 Ruy Barbosa,2
241120 Santa Cruz,17
240933 Santa Maria,1
241140 Santana do Matos,1
241150 Santo Antônio,3
241160 São Bento do Norte,2
241180 São Fernando,1
241190 São Francisco do Oeste,3
241200 São Gonçalo do Amarante,88
241220 São José de Mipibu,19
241230 São José do Campestre,7
241240 São José do Seridó,3
241250 São Miguel,13
241255 São Miguel do Gostoso,1
241260 São Paulo do Potengi,5
241270 São Pedro,4
241280 São Rafael,9
241290 São Tomé,6
241300 São Vicente,1
241310 Senador Elói de Souza,1
241320 Senador Georgino Avelino,4
241330 Serra de São Bento,3
241335 Serra do Mel,5
241340 Serra Negra do Norte,2
241355 Serrinha dos Pintos,1
241370 Sítio Novo,4
241380 Taboleiro Grande,1
241390 Taipu,4
241400 Tangará,8
241410 Tenente Ananias,1
241415 Tenente Laurentino Cruz,1
241105 Tibau,6
241420 Tibau do Sul,7
241440 Touros,20
241450 Umarizal,4
241460 Upanema,1
241470 Várzea,3
241475 Venha-Ver,1
241480 Vera Cruz,6
241500 Vila Flor,1
250010 Água Branca,5
250020 Aguiar,4
250030 Alagoa Grande,14
250040 Alagoa Nova,1
250050 Alagoinha,5
250053 Alcantil,4
250057 Algodão de Jandaíra,2
250060 Alhandra,15
