"cidade","tuberculose"
"150506 Novo Repartimento",51
"150510 Óbidos",80
"150520 Oeiras do Pará",44
"150530 Oriximiná",144
"150540 Ourém",31
"150543 Ourilândia do Norte",71
"150548 Pacajá",53
"150549 Palestina do Pará",8
"150550 Paragominas",287
"150553 Parauapebas",334
"150555 Pau D'Arco",15
"150560 Peixe-Boi",17
"150563 Piçarra",7
"150565 Placas",38
"150570 Ponta de Pedras",39
"150580 Portel",72
"150590 Porto de Moz",50
"150600 Prainha",27
"150610 Primavera",32
"150611 Quatipuru",39
"150613 Redenção",122
"150616 Rio Maria",15
"150618 Rondon do Pará",39
"150619 Rurópolis",17
"150620 Salinópolis",158
"150630 Salvaterra",47
"150635 Santa Bárbara do Pará",105
"150640 Santa Cruz do Arari",23
"150650 Santa Izabel do Pará",971
"150655 Santa Luzia do Pará",33
"150658 Santa Maria das Barreiras",11
"150660 Santa Maria do Pará",35
"150670 Santana do Araguaia",22
"150680 Santarém",629
"150690 Santarém Novo",26
"150700 Santo Antônio do Tauá",62
"150710 São Caetano de Odivelas",36
"150715 São Domingos do Araguaia",16
"150720 São Domingos do Capim",35
"150730 São Félix do Xingu",77
"150740 São Francisco do Pará",48
"150745 São Geraldo do Araguaia",20
"150746 São João da Ponta",8
"150747 São João de Pirabas",47
"150750 São João do Araguaia",19
"150760 São Miguel do Guamá",125
"150770 São Sebastião da Boa Vista",43
"150775 Sapucaia",3
"150780 Senador José Porfírio",25
"150790 Soure",87
"150795 Tailândia",107
"150796 Terra Alta",42
"150797 Terra Santa",32
"150800 Tomé-Açu",143
"150803 Tracuateua",57
"150805 Trairão",21
"150808 Tucumã",40
"150810 Tucuruí",285
"150812 Ulianópolis",40
"150815 Uruará",45
"150820 Vigia",161
"150830 Viseu",77
"150835 Vitória do Xingu",37
"150840 Xinguara",51
"160010 Amapá",12
"160020 Calçoene",28
"160021 Cutias",8
"160023 Ferreira Gomes",13
"160025 Itaubal",6
"160027 Laranjal do Jari",87
"160030 Macapá",917
"160040 Mazagão",26
"160050 Oiapoque",60
"160015 Pedra Branca do Amapari",18
"160053 Porto Grande",35
"160055 Pracuúba",4
"160060 Santana",167
"160005 Serra do Navio",1
"160070 Tartarugalzinho",12
"160080 Vitória do Jari",11
"170025 Abreulândia",1
"170030 Aguiarnópolis",1
"170035 Aliança do Tocantins",5
"170040 Almas",8
"170070 Alvorada",3
"170100 Ananás",1
"170105 Angico",3
"170130 Aragominas",4
"170190 Araguacema",6
"170200 Araguaçu",1
"170210 Araguaína",163
"170215 Araguanã",3
"170220 Araguatins",23
"170230 Arapoema",4
"170240 Arraias",10
"170255 Augustinópolis",9
"170270 Aurora do Tocantins",7
"170290 Axixá do Tocantins",9
"170300 Babaçulândia",5
"170305 Bandeirantes do Tocantins",1
"170310 Barrolândia",2
"170320 Bernardo Sayão",2
"170360 Brasilândia do Tocantins",1
"170370 Brejinho de Nazaré",2
"170380 Buriti do Tocantins",2
"170384 Campos Lindos",1
"170386 Cariri do Tocantins",10
"170389 Carrasco Bonito",2
"170390 Caseara",4
"170510 Chapada da Natividade",9
"170550 Colinas do Tocantins",40
"171670 Colméia",1
"170555 Combinado",9
"170560 Conceição do Tocantins",4
"170600 Couto Magalhães",1
"170610 Cristalândia",5
"170625 Crixás do Tocantins",2
"170650 Darcinópolis",1
"170700 Dianópolis",18
"170710 Divinópolis do Tocantins",2
"170720 Dois Irmãos do Tocantins",5
"170730 Dueré",1
"170740 Esperantina",1
"170755 Fátima",2
"170765 Figueirópolis",2
"170770 Filadélfia",5
"170820 Formoso do Araguaia",7
"170825 Fortaleza do Tabocão",2
"170830 Goianorte",2
"170900 Goiatins",23
"170930 Guaraí",9
"170950 Gurupi",44
"170980 Ipueiras",1
"171050 Itacajá",10
"171070 Itaguatins",3
"171110 Itaporã do Tocantins",1
"171180 Juarina",3
"171190 Lagoa da Confusão",36
"171195 Lagoa do Tocantins",3
"171200 Lajeado",6
"171215 Lavandeira",3
"171240 Lizarda",1
"171245 Luzinópolis",2
"171250 Marianópolis do Tocantins",1
"171270 Mateiros",1
"171320 Miracema do Tocantins",11
"171330 Miranorte",6
"171360 Monte do Carmo",9
"171370 Monte Santo do Tocantins",1
"171420 Natividade",7
"171430 Nazaré",3
"171488 Nova Olinda",2
"171500 Nova Rosalândia",4
"171510 Novo Acordo",1
"171525 Novo Jardim",1
"171550 Oliveira de Fátima",1
"172100 Palmas",180
"171570 Palmeirante",3
"171380 Palmeiras do Tocantins",3
"171575 Palmeirópolis",1
"171610 Paraíso do Tocantins",28
"171620 Paranã",8
"171630 Pau D'Arco",2
"171650 Pedro Afonso",8
"171660 Peixe",7
"171665 Pequizeiro",2
"171700 Pindorama do Tocantins",4
"171750 Pium",11
"171780 Ponte Alta do Bom Jesus",2
"171790 Ponte Alta do Tocantins",2
"171820 Porto Nacional",58
"171830 Praia Norte",4
"171845 Pugmil",1
"171855 Riachinho",3
"171865 Rio da Conceição",1
"171870 Rio dos Bois",2
"171880 Sampaio",2
"171886 Santa Fé do Araguaia",2
"171889 Santa Rita do Tocantins",2
"171890 Santa Rosa do Tocantins",3
"171900 Santa Tereza do Tocantins",1
"172000 Santa Terezinha do Tocantins",2
"172010 São Bento do Tocantins",3
"172015 São Félix do Tocantins",6
"172020 São Miguel do Tocantins",5
"172025 São Salvador do Tocantins",1
"172030 São Sebastião do Tocantins",1
"172049 São Valério",2
"172065 Silvanópolis",3
"172080 Sítio Novo do Tocantins",6
"172085 Sucupira",1
"172090 Taguatinga",16
"172097 Talismã",2
"172110 Tocantínia",18
"172120 Tocantinópolis",27
"172125 Tupirama",1
"172130 Tupiratins",2
"172208 Wanderlândia",14
"172210 Xambioá",16
"210005 Açailândia",180
"210010 Afonso Cunha",7
"210015 Água Doce do Maranhão",10
"210020 Alcântara",32
"210030 Aldeias Altas",37
"210040 Altamira do Maranhão",13
"210043 Alto Alegre do Maranhão",18
"210047 Alto Alegre do Pindaré",55
"210050 Alto Parnaíba",6
"210055 Amapá do Maranhão",13
"210060 Amarante do Maranhão",71
"210070 Anajatuba",20
"210080 Anapurus",9
"210083 Apicum-Açu",27
"210087 Araguanã",15
"210090 Araioses",40
"210095 Arame",31
"210100 Arari",48
"210110 Axixá",17
"210120 Bacabal",202
"210125 Bacabeira",21
"210130 Bacuri",24
"210135 Bacurituba",6
"210140 Balsas",171
"210150 Barão de Grajaú",15
"210160 Barra do Corda",176
"210170 Barreirinhas",62
"210177 Bela Vista do Maranhão",11
"210173 Belágua",1
"210180 Benedito Leite",10
"210190 Bequimão",32
"210193 Bernardo do Mearim",9
"210197 Boa Vista do Gurupi",10
"210200 Bom Jardim",72
"210203 Bom Jesus das Selvas",23
"210207 Bom Lugar",13
"210210 Brejo",22
"210215 Brejo de Areia",4
"210220 Buriti",24
"210230 Buriti Bravo",11
"210232 Buriticupu",64
"210235 Buritirana",4
"210237 Cachoeira Grande",7
"210240 Cajapió",7
"210250 Cajari",33
"210255 Campestre do Maranhão",17
"210260 Cândido Mendes",20
"210270 Cantanhede",39
"210275 Capinzal do Norte",7
"210280 Carolina",43
"210290 Carutapera",39
"210300 Caxias",321
"210310 Cedral",13
"210312 Central do Maranhão",1
"210315 Centro do Guilherme",18
"210317 Centro Novo do Maranhão",20
"210320 Chapadinha",124
"210325 Cidelândia",9
"210330 Codó",195
"210340 Coelho Neto",105
"210350 Colinas",29
"210355 Conceição do Lago-Açu",21
"210360 Coroatá",160
"210370 Cururupu",61
"210375 Davinópolis",17
"210380 Dom Pedro",25
"210390 Duque Bacelar",11
"210400 Esperantinópolis",14
"210405 Estreito",28
"210408 Fernando Falcão",46
"210409 Formosa da Serra Negra",10
"210410 Fortaleza dos Nogueiras",4
"210420 Fortuna",11
"210430 Godofredo Viana",6
"210440 Gonçalves Dias",24
"210450 Governador Archer",14
"210455 Governador Edison Lobão",24
"210460 Governador Eugênio Barros",14
"210462 Governador Luiz Rocha",3
"210465 Governador Newton Bello",14
"210467 Governador Nunes Freire",48
"210470 Graça Aranha",6
"210480 Grajaú",107
"210490 Guimarães",7
"210500 Humberto de Campos",23
"210510 Icatu",20
"210515 Igarapé do Meio",16
"210520 Igarapé Grande",11
"210530 Imperatriz",414
"210535 Itaipava do Grajaú",16
"210540 Itapecuru Mirim",99
"210542 Itinga do Maranhão",27
"210545 Jatobá",3
"210547 Jenipapo dos Vieiras",43
"210550 João Lisboa",27
"210560 Joselândia",17
"210565 Junco do Maranhão",2
"210570 Lago da Pedra",63
"210580 Lago do Junco",10
"210594 Lago dos Rodrigues",11
"210590 Lago Verde",23
"210592 Lagoa do Mato",5
"210596 Lagoa Grande do Maranhão",14
"210598 Lajeado Novo",4
"210600 Lima Campos",13
"210610 Loreto",5
"210620 Luís Domingues",11
"210630 Magalhães de Almeida",15
"210632 Maracaçumé",28
"210635 Marajá do Sena",7
"210637 Maranhãozinho",37
"210640 Mata Roma",11
"210650 Matinha",28
"210660 Matões",15
"210663 Matões do Norte",15
"210667 Milagres do Maranhão",1
"210670 Mirador",10
"210675 Miranda do Norte",36
"210680 Mirinzal",10
"210690 Monção",78
"210700 Montes Altos",14
"210710 Morros",25
"210720 Nina Rodrigues",6
"210725 Nova Colinas",1
"210735 Nova Olinda do Maranhão",36
"210740 Olho d'Água das Cunhãs",26
"210745 Olinda Nova do Maranhão",18
"210750 Paço do Lumiar",289
"210760 Palmeirândia",13
"210770 Paraibano",10
"210780 Parnarama",32
"210790 Passagem Franca",19
"210800 Pastos Bons",6
"210805 Paulino Neves",24
"210810 Paulo Ramos",28
"210820 Pedreiras",70
"210825 Pedro do Rosário",26
"210830 Penalva",51
"210840 Peri Mirim",14
"210845 Peritoró",45
"210850 Pindaré-Mirim",99
"210860 Pinheiro",132
"210870 Pio XII",51
"210880 Pirapemas",35
"210890 Poção de Pedras",20
"210900 Porto Franco",34
"210905 Porto Rico do Maranhão",9
"210910 Presidente Dutra",56
"210920 Presidente Juscelino",14
"210923 Presidente Médici",3
"210927 Presidente Sarney",15
"210930 Presidente Vargas",10
"210940 Primeira Cruz",9
"210945 Raposa",79
"210950 Riachão",15
"210955 Ribamar Fiquene",5
"210960 Rosário",85
"210970 Sambaíba",1
"210975 Santa Filomena do Maranhão",6
"210980 Santa Helena",35
"210990 Santa Inês",248
"211000 Santa Luzia",85
"211003 Santa Luzia do Paruá",48
"211010 Santa Quitéria do Maranhão",23
"211020 Santa Rita",37
"211023 Santana do Maranhão",6
"211027 Santo Amaro do Maranhão",7
"211030 Santo Antônio dos Lopes",22
"211040 São Benedito do Rio Preto",12
"211050 São Bento",55
"211060 São Bernardo",29
"211065 São Domingos do Azeitão",2
"211070 São Domingos do Maranhão",22
"211085 São Francisco do Brejão",1
"211090 São Francisco do Maranhão",6
"211100 São João Batista",23
"211102 São João do Carú",7
"211105 São João do Paraíso",1
"211107 São João do Soter",10
"211110 São João dos Patos",28
"211120 São José de Ribamar",560
"211125 São José dos Basílios",5
"211130 São Luís",4342
"211140 São Luís Gonzaga do Maranhão",35
"211150 São Mateus do Maranhão",93
"211153 São Pedro da Água Branca",6
"211160 São Raimundo das Mangabeiras",9
"211163 São Raimundo do Doca Bezerra",6
"211167 São Roberto",2
"211170 São Vicente Ferrer",32
"211172 Satubinha",6
"211174 Senador Alexandre Costa",9
"211176 Senador La Rocque",11
"211178 Serrano do Maranhão",11
"211180 Sítio Novo",9
"211190 Sucupira do Norte",3
"211195 Sucupira do Riachão",2
"211200 Tasso Fragoso",4
"211210 Timbiras",16
"211220 Timon",302
"211223 Trizidela do Vale",49
"211227 Tufilândia",2
"211230 Tuntum",22
"211240 Turiaçu",37
"211245 Turilândia",14
"211250 Tutóia",46
"211260 Urbano Santos",26
"211270 Vargem Grande",63
"211280 Viana",84
"211285 Vila Nova dos Martírios",6
"211290 Vitória do Mearim",57
"211300 Vitorino Freire",53
"211400 Zé Doca",84
"220005 Acauã",4
"220010 Agricolândia",6
"220020 Água Branca",21
"220025 Alagoinha do Piauí",9
"220027 Alegrete do Piauí",1
"220030 Alto Longá",9
"220040 Altos",67
"220045 Alvorada do Gurguéia",3
"220050 Amarante",15
"220060 Angical do Piauí",6
"220070 Anísio de Abreu",4
"220080 Antônio Almeida",4
"220090 Aroazes",4
"220095 Aroeiras do Itaim",2
"220100 Arraial",7
"220105 Assunção do Piauí",4
"220110 Avelino Lopes",4
"220115 Baixa Grande do Ribeiro",5
"220117 Barra D'Alcântara",4
"220120 Barras",37
"220130 Barreiras do Piauí",1
"220140 Barro Duro",5
"220150 Batalha",25
"220160 Beneditinos",6
"220170 Bertolínia",3
"220173 Betânia do Piauí",3
"220177 Boa Hora",4
"220180 Bocaina",7
"220190 Bom Jesus",30
"220191 Bom Princípio do Piauí",12
"220192 Bonfim do Piauí",3
"220194 Boqueirão do Piauí",11
"220196 Brasileira",8
"220198 Brejo do Piauí",5
"220200 Buriti dos Lopes",27
"220202 Buriti dos Montes",3
"220205 Cabeceiras do Piauí",13
"220207 Cajazeiras do Piauí",3
"220208 Cajueiro da Praia",10
"220209 Caldeirão Grande do Piauí",1
"220210 Campinas do Piauí",4
"220211 Campo Alegre do Fidalgo",1
"220213 Campo Grande do Piauí",4
"220220 Campo Maior",74
"220225 Canavieira",1
"220230 Canto do Buriti",23
"220240 Capitão de Campos",22
"220245 Capitão Gervásio Oliveira",4
"220250 Caracol",8
"220253 Caraúbas do Piauí",4
"220255 Caridade do Piauí",6
"220260 Castelo do Piauí",25
"220265 Caxingó",5
"220270 Cocal",47
"220271 Cocal de Telha",11
"220272 Cocal dos Alves",6
"220273 Coivaras",6
"220275 Colônia do Gurguéia",7
"220277 Colônia do Piauí",7
"220280 Conceição do Canindé",5
"220285 Coronel José Dias",1
"220290 Corrente",8
"220310 Cristino Castro",12
"220320 Curimatá",7
"220323 Currais",4
"220327 Curral Novo do Piauí",5
"220325 Curralinhos",1
"220330 Demerval Lobão",25
"220335 Dirceu Arcoverde",2
"220340 Dom Expedito Lopes",4
"220345 Dom Inocêncio",1
"220342 Domingos Mourão",3
"220350 Elesbão Veloso",16
"220360 Eliseu Martins",3
"220370 Esperantina",38
"220375 Fartura do Piauí",5
"220385 Floresta do Piauí",4
"220390 Floriano",94
"220400 Francinópolis",3
"220410 Francisco Ayres",3
"220415 Francisco Macedo",5
"220420 Francisco Santos",1
"220430 Fronteiras",10
"220435 Geminiano",2
"220440 Gilbués",7
"220450 Guadalupe",4
"220455 Guaribas",3
"220460 Hugo Napoleão",1
"220465 Ilha Grande",8
"220470 Inhuma",10
"220480 Ipiranga do Piauí",17
"220490 Isaías Coelho",2
"220500 Itainópolis",10
"220510 Itaueira",14
"220515 Jacobina do Piauí",2
"220520 Jaicós",8
"220525 Jardim do Mulato",2
"220527 Jatobá do Piauí",2
"220530 Jerumenha",3
"220540 Joaquim Pires",6
"220545 Joca Marques",4
"220550 José de Freitas",33
"220551 Juazeiro do Piauí",3
"220552 Júlio Borges",5
"220553 Jurema",3
"220555 Lagoa Alegre",3
"220557 Lagoa de São Francisco",4
"220556 Lagoa do Barro do Piauí",3
"220558 Lagoa do Piauí",3
"220559 Lagoa do Sítio",7
"220554 Lagoinha do Piauí",3
"220560 Landri Sales",7
"220570 Luís Correia",30
"220580 Luzilândia",48
"220590 Manoel Emídio",8
"220595 Marcolândia",4
"220600 Marcos Parente",1
"220605 Massapê do Piauí",7
"220610 Matias Olímpio",7
"220620 Miguel Alves",44
"220635 Milton Brandão",14
"220640 Monsenhor Gil",2
"220650 Monsenhor Hipólito",7
"220660 Monte Alegre do Piauí",4
"220667 Morro do Chapéu do Piauí",4
"220669 Murici dos Portelas",5
"220670 Nazaré do Piauí",9
"220672 Nazária",15
"220675 Nossa Senhora de Nazaré",2
"220680 Nossa Senhora dos Remédios",6
"220795 Nova Santa Rita",4
"220690 Novo Oriente do Piauí",8
"220695 Novo Santo Antônio",3
"220700 Oeiras",51
"220710 Olho D'Água do Piauí",1
"220720 Padre Marcos",5
"220730 Paes Landim",5
"220735 Pajeú do Piauí",4
"220740 Palmeira do Piauí",6
"220750 Palmeirais",12
"220755 Paquetá",3
"220760 Parnaguá",3
"220770 Parnaíba",321
"220775 Passagem Franca do Piauí",2
"220777 Patos do Piauí",7
"220779 Pau D'Arco do Piauí",4
"220780 Paulistana",11
"220785 Pavussu",3
"220790 Pedro II",31
"220800 Picos",73
"220810 Pimenteiras",12
"220820 Pio IX",7
"220830 Piracuruca",47
"220840 Piripiri",98
"220850 Porto",8
"220855 Porto Alegre do Piauí",1
"220860 Prata do Piauí",3
"220865 Queimada Nova",4
"220870 Redenção do Gurguéia",7
"220880 Regeneração",22
"220887 Ribeira do Piauí",5
"220890 Ribeiro Gonçalves",4
"220900 Rio Grande do Piauí",5
"220910 Santa Cruz do Piauí",5
"220915 Santa Cruz dos Milagres",3
"220920 Santa Filomena",7
"220930 Santa Luz",2
"220937 Santa Rosa do Piauí",4
"220940 Santo Antônio de Lisboa",1
"220950 Santo Inácio do Piauí",5
"220960 São Félix do Piauí",3
"220965 São Francisco de Assis do Piauí",4
"220970 São Francisco do Piauí",7
"220975 São Gonçalo do Gurguéia",3
"220980 São Gonçalo do Piauí",1
"220985 São João da Canabrava",2
"220987 São João da Fronteira",6
"220990 São João da Serra",6
"220995 São João da Varjota",10
"220997 São João do Arraial",10
"221000 São João do Piauí",18
"221005 São José do Divino",7
"221010 São José do Peixe",3
"221020 São José do Piauí",7
"221030 São Julião",11
"221035 São Lourenço do Piauí",1
"221037 São Luis do Piauí",1
"221038 São Miguel da Baixa Grande",4
"221039 São Miguel do Fidalgo",4
"221040 São Miguel do Tapuio",12
"221050 São Pedro do Piauí",8
"221060 São Raimundo Nonato",47
"221062 Sebastião Barros",2
"221063 Sebastião Leal",3
"221065 Sigefredo Pacheco",5
"221070 Simões",9
"221080 Simplício Mendes",17
"221090 Socorro do Piauí",1
"221093 Sussuapara",6
"221095 Tamboril do Piauí",2
"221100 Teresina",1455
"221110 União",48
"221120 Uruçuí",23
"221130 Valença do Piauí",11
"221135 Várzea Branca",5
"221140 Várzea Grande",3
"221150 Vera Mendes",2
"221160 Vila Nova do Piauí",1
"221170 Wall Ferraz",3
"230010 Abaiara",6
"230015 Acarape",21
"230020 Acaraú",114
"230030 Acopiara",59
"230040 Aiuaba",6
"230050 Alcântaras",15
"230060 Altaneira",21
"230070 Alto Santo",13
"230075 Amontada",29
"230080 Antonina do Norte",7
"230090 Apuiarés",14
"230100 Aquiraz",178
"230110 Aracati",113
"230120 Aracoiaba",38
"230125 Ararendá",14
"230130 Araripe",8
"230140 Aratuba",12
"230150 Arneiroz",6
"230160 Assaré",8
"230170 Aurora",16
"230180 Baixio",2
"230185 Banabuiú",22
"230190 Barbalha",100
"230195 Barreira",21
"230200 Barro",19
"230205 Barroquinha",26
"230210 Baturité",58
"230220 Beberibe",57
"230230 Bela Cruz",39
"230240 Boa Viagem",32
"230250 Brejo Santo",46
"230260 Camocim",119
"230270 Campos Sales",12
"230280 Canindé",116
"230290 Capistrano",11
"230300 Caridade",30
"230310 Cariré",41
"230320 Caririaçu",22
"230330 Cariús",12
"230340 Carnaubal",17
"230350 Cascavel",115
"230360 Catarina",7
"230365 Catunda",22
"230370 Caucaia",1089
"230380 Cedro",19
"230390 Chaval",26
"230393 Choró",7
"230395 Chorozinho",33
"230400 Coreaú",45
"230410 Crateús",134
"230420 Crato",182
"230423 Croatá",20
"230425 Cruz",26
"230426 Deputado Irapuan Pinheiro",8
"230427 Ererê",5
"230428 Eusébio",149
"230430 Farias Brito",11
"230435 Forquilha",54
"230440 Fortaleza",10109
"230445 Fortim",11
"230450 Frecheirinha",33
"230460 General Sampaio",15
"230465 Graça",28
"230470 Granja",90
"230480 Granjeiro",7
"230490 Groaíras",28
"230495 Guaiúba",33
"230500 Guaraciaba do Norte",46
"230510 Guaramiranga",5
"230520 Hidrolândia",43
"230523 Horizonte",224
"230526 Ibaretama",15
"230530 Ibiapina",29
"230533 Ibicuitinga",30
"230535 Icapuí",27
"230540 Icó",80
"230550 Iguatu",122
"230560 Independência",27
"230565 Ipaporanga",10
"230570 Ipaumirim",6
"230580 Ipu",60
"230590 Ipueiras",58
"230600 Iracema",4
"230610 Irauçuba",32
"230620 Itaiçaba",8
"230625 Itaitinga",919
"230630 Itapagé",85
"230640 Itapipoca",172
"230650 Itapiúna",14
"230655 Itarema",58
"230660 Itatira",36
"230670 Jaguaretama",14
"230680 Jaguaribara",7
"230690 Jaguaribe",34
"230700 Jaguaruana",42
"230710 Jardim",19
"230720 Jati",6
"230725 Jijoca de Jericoacoara",19
"230730 Juazeiro do Norte",532
"230740 Jucás",16
"230750 Lavras da Mangabeira",19
"230760 Limoeiro do Norte",54
"230763 Madalena",9
"230765 Maracanaú",675
"230770 Maranguape",209
"230780 Marco",46
"230790 Martinópole",18
"230800 Massapê",81
"230810 Mauriti",49
"230820 Meruoca",15
"230830 Milagres",39
"230835 Milhã",9
"230837 Miraíma",11
"230840 Missão Velha",59
"230850 Mombaça",51
"230860 Monsenhor Tabosa",23
"230870 Morada Nova",66
"230880 Moraújo",21
"230890 Morrinhos",24
"230900 Mucambo",28
"230910 Mulungu",5
"230920 Nova Olinda",13
"230930 Nova Russas",87
"230940 Novo Oriente",38
"230945 Ocara",49
"230950 Orós",23
"230960 Pacajus",197
"230970 Pacatuba",168
"230980 Pacoti",13
"230990 Pacujá",16
"231000 Palhano",5
"231010 Palmácia",13
"231020 Paracuru",82
