"cidade","scongenita"
"150700 Santo Antônio do Tauá",17
"150710 São Caetano de Odivelas",10
"150715 São Domingos do Araguaia",15
"150720 São Domingos do Capim",11
"150730 São Félix do Xingu",9
"150745 São Geraldo do Araguaia",31
"150746 São João da Ponta",4
"150747 São João de Pirabas",3
"150750 São João do Araguaia",12
"150760 São Miguel do Guamá",17
"150770 São Sebastião da Boa Vista",6
"150775 Sapucaia",5
"150780 Senador José Porfírio",4
"150790 Soure",6
"150795 Tailândia",43
"150796 Terra Alta",8
"150797 Terra Santa",7
"150800 Tomé-Açu",11
"150803 Tracuateua",27
"150805 Trairão",3
"150808 Tucumã",2
"150810 Tucuruí",40
"150812 Ulianópolis",3
"150820 Vigia",19
"150830 Viseu",11
"150835 Vitória do Xingu",16
"150840 Xinguara",13
"160010 Amapá",3
"160020 Calçoene",5
"160021 Cutias",2
"160023 Ferreira Gomes",7
"160025 Itaubal",2
"160027 Laranjal do Jari",13
"160030 Macapá",295
"160040 Mazagão",4
"160050 Oiapoque",4
"160015 Pedra Branca do Amapari",2
"160053 Porto Grande",3
"160060 Santana",61
"160005 Serra do Navio",1
"160070 Tartarugalzinho",3
"160080 Vitória do Jari",1
"170025 Abreulândia",2
"170030 Aguiarnópolis",3
"170035 Aliança do Tocantins",1
"170040 Almas",2
"170070 Alvorada",5
"170100 Ananás",18
"170105 Angico",1
"170110 Aparecida do Rio Negro",9
"170130 Aragominas",2
"170190 Araguacema",2
"170200 Araguaçu",6
"170210 Araguaína",238
"170215 Araguanã",4
"170220 Araguatins",61
"170230 Arapoema",5
"170240 Arraias",2
"170255 Augustinópolis",19
"170290 Axixá do Tocantins",7
"170300 Babaçulândia",5
"170307 Barra do Ouro",10
"170310 Barrolândia",2
"170320 Bernardo Sayão",1
"170330 Bom Jesus do Tocantins",6
"170360 Brasilândia do Tocantins",1
"170370 Brejinho de Nazaré",7
"170380 Buriti do Tocantins",10
"170382 Cachoeirinha",3
"170384 Campos Lindos",2
"170388 Carmolândia",4
"170389 Carrasco Bonito",5
"170390 Caseara",1
"170410 Centenário",1
"170510 Chapada da Natividade",2
"170460 Chapada de Areia",1
"170550 Colinas do Tocantins",25
"171670 Colméia",4
"170560 Conceição do Tocantins",5
"170600 Couto Magalhães",3
"170610 Cristalândia",6
"170650 Darcinópolis",13
"170700 Dianópolis",7
"170710 Divinópolis do Tocantins",5
"170720 Dois Irmãos do Tocantins",2
"170730 Dueré",1
"170740 Esperantina",17
"170755 Fátima",1
"170765 Figueirópolis",1
"170770 Filadélfia",9
"170820 Formoso do Araguaia",5
"170825 Fortaleza do Tabocão",4
"170830 Goianorte",3
"170900 Goiatins",15
"170930 Guaraí",26
"170950 Gurupi",31
"170980 Ipueiras",1
"171050 Itacajá",12
"171070 Itaguatins",4
"171090 Itapiratins",3
"171110 Itaporã do Tocantins",2
"171180 Juarina",2
"171190 Lagoa da Confusão",9
"171195 Lagoa do Tocantins",4
"171240 Lizarda",3
"171245 Luzinópolis",4
"171250 Marianópolis do Tocantins",2
"171280 Maurilândia do Tocantins",5
"171320 Miracema do Tocantins",29
"171330 Miranorte",14
"171360 Monte do Carmo",7
"171395 Muricilândia",2
"171420 Natividade",10
"171430 Nazaré",3
"171488 Nova Olinda",17
"171510 Novo Acordo",3
"171550 Oliveira de Fátima",1
"172100 Palmas",207
"171570 Palmeirante",4
"171380 Palmeiras do Tocantins",4
"171575 Palmeirópolis",1
"171610 Paraíso do Tocantins",32
"171620 Paranã",2
"171630 Pau D'Arco",8
"171650 Pedro Afonso",7
"171660 Peixe",4
"171665 Pequizeiro",1
"171700 Pindorama do Tocantins",2
"171720 Piraquê",5
"171750 Pium",3
"171790 Ponte Alta do Tocantins",13
"171800 Porto Alegre do Tocantins",1
"171820 Porto Nacional",78
"171830 Praia Norte",9
"171840 Presidente Kennedy",1
"171845 Pugmil",3
"171850 Recursolândia",3
"171855 Riachinho",7
"171870 Rio dos Bois",3
"171875 Rio Sono",2
"171880 Sampaio",6
"171884 Sandolândia",2
"171886 Santa Fé do Araguaia",13
"171888 Santa Maria do Tocantins",1
"171889 Santa Rita do Tocantins",1
"171890 Santa Rosa do Tocantins",3
"171900 Santa Tereza do Tocantins",3
"172000 Santa Terezinha do Tocantins",2
"172010 São Bento do Tocantins",6
"172020 São Miguel do Tocantins",9
"172030 São Sebastião do Tocantins",5
"172049 São Valério",1
"172065 Silvanópolis",7
"172080 Sítio Novo do Tocantins",11
"172085 Sucupira",2
"172090 Taguatinga",2
"172110 Tocantínia",6
"172120 Tocantinópolis",8
"172125 Tupirama",1
"172130 Tupiratins",1
"172208 Wanderlândia",12
"172210 Xambioá",19
"210005 Açailândia",41
"210015 Água Doce do Maranhão",4
"210020 Alcântara",8
"210030 Aldeias Altas",8
"210040 Altamira do Maranhão",1
"210043 Alto Alegre do Maranhão",4
"210047 Alto Alegre do Pindaré",5
"210050 Alto Parnaíba",2
"210060 Amarante do Maranhão",10
"210070 Anajatuba",11
"210080 Anapurus",2
"210083 Apicum-Açu",1
"210087 Araguanã",1
"210090 Araioses",15
"210095 Arame",6
"210100 Arari",9
"210110 Axixá",7
"210120 Bacabal",20
"210125 Bacabeira",6
"210130 Bacuri",1
"210140 Balsas",95
"210150 Barão de Grajaú",13
"210160 Barra do Corda",8
"210170 Barreirinhas",13
"210177 Bela Vista do Maranhão",1
"210173 Belágua",2
"210180 Benedito Leite",1
"210190 Bequimão",3
"210197 Boa Vista do Gurupi",1
"210200 Bom Jardim",3
"210203 Bom Jesus das Selvas",17
"210207 Bom Lugar",4
"210210 Brejo",2
"210220 Buriti",4
"210230 Buriti Bravo",1
"210232 Buriticupu",41
"210235 Buritirana",12
"210250 Cajari",2
"210255 Campestre do Maranhão",4
"210260 Cândido Mendes",1
"210270 Cantanhede",3
"210280 Carolina",10
"210290 Carutapera",4
"210300 Caxias",48
"210310 Cedral",2
"210315 Centro do Guilherme",2
"210317 Centro Novo do Maranhão",1
"210320 Chapadinha",29
"210325 Cidelândia",5
"210330 Codó",56
"210340 Coelho Neto",12
"210350 Colinas",10
"210355 Conceição do Lago-Açu",1
"210360 Coroatá",23
"210370 Cururupu",17
"210375 Davinópolis",18
"210390 Duque Bacelar",9
"210405 Estreito",10
"210407 Feira Nova do Maranhão",3
"210409 Formosa da Serra Negra",1
"210410 Fortaleza dos Nogueiras",3
"210420 Fortuna",1
"210430 Godofredo Viana",1
"210440 Gonçalves Dias",1
"210450 Governador Archer",2
"210455 Governador Edison Lobão",28
"210460 Governador Eugênio Barros",1
"210467 Governador Nunes Freire",5
"210480 Grajaú",6
"210490 Guimarães",1
"210500 Humberto de Campos",2
"210510 Icatu",7
"210530 Imperatriz",291
"210540 Itapecuru Mirim",8
"210542 Itinga do Maranhão",10
"210545 Jatobá",2
"210550 João Lisboa",38
"210560 Joselândia",1
"210570 Lago da Pedra",10
"210590 Lago Verde",1
"210592 Lagoa do Mato",1
"210610 Loreto",1
"210630 Magalhães de Almeida",9
"210632 Maracaçumé",4
"210637 Maranhãozinho",1
"210640 Mata Roma",2
"210650 Matinha",1
"210660 Matões",43
"210663 Matões do Norte",2
"210670 Mirador",1
"210675 Miranda do Norte",4
"210690 Monção",1
"210700 Montes Altos",7
"210710 Morros",3
"210720 Nina Rodrigues",3
"210725 Nova Colinas",1
"210735 Nova Olinda do Maranhão",1
"210745 Olinda Nova do Maranhão",3
"210750 Paço do Lumiar",79
"210760 Palmeirândia",1
"210770 Paraibano",5
"210780 Parnarama",31
"210790 Passagem Franca",3
"210800 Pastos Bons",4
"210805 Paulino Neves",1
"210810 Paulo Ramos",2
"210820 Pedreiras",2
"210825 Pedro do Rosário",1
"210830 Penalva",14
"210840 Peri Mirim",2
"210845 Peritoró",2
"210850 Pindaré-Mirim",5
"210860 Pinheiro",14
"210870 Pio XII",1
"210880 Pirapemas",3
"210890 Poção de Pedras",1
"210900 Porto Franco",7
"210910 Presidente Dutra",18
"210920 Presidente Juscelino",2
"210923 Presidente Médici",1
"210927 Presidente Sarney",1
"210930 Presidente Vargas",1
"210940 Primeira Cruz",1
"210945 Raposa",22
"210950 Riachão",7
"210955 Ribamar Fiquene",9
"210960 Rosário",15
"210980 Santa Helena",5
"210990 Santa Inês",11
"211000 Santa Luzia",10
"211003 Santa Luzia do Paruá",3
"211020 Santa Rita",6
"211023 Santana do Maranhão",1
"211027 Santo Amaro do Maranhão",2
"211030 Santo Antônio dos Lopes",1
"211040 São Benedito do Rio Preto",3
"211050 São Bento",2
"211060 São Bernardo",8
"211065 São Domingos do Azeitão",1
"211070 São Domingos do Maranhão",2
"211080 São Félix de Balsas",1
"211085 São Francisco do Brejão",5
"211090 São Francisco do Maranhão",4
"211102 São João do Carú",1
"211105 São João do Paraíso",3
"211107 São João do Soter",3
"211110 São João dos Patos",10
"211120 São José de Ribamar",133
"211130 São Luís",813
"211140 São Luís Gonzaga do Maranhão",7
"211153 São Pedro da Água Branca",3
"211160 São Raimundo das Mangabeiras",6
"211170 São Vicente Ferrer",4
"211176 Senador La Rocque",14
"211178 Serrano do Maranhão",2
"211180 Sítio Novo",5
"211210 Timbiras",13
"211220 Timon",262
"211223 Trizidela do Vale",1
"211227 Tufilândia",3
"211230 Tuntum",4
"211240 Turiaçu",10
"211245 Turilândia",2
"211250 Tutóia",9
"211260 Urbano Santos",4
"211270 Vargem Grande",11
"211280 Viana",29
"211285 Vila Nova dos Martírios",7
"211290 Vitória do Mearim",13
"211400 Zé Doca",6
"220010 Agricolândia",13
"220020 Água Branca",22
"220025 Alagoinha do Piauí",1
"220030 Alto Longá",6
"220040 Altos",45
"220045 Alvorada do Gurguéia",5
"220050 Amarante",16
"220060 Angical do Piauí",6
"220080 Antônio Almeida",2
"220090 Aroazes",1
"220095 Aroeiras do Itaim",2
"220100 Arraial",3
"220105 Assunção do Piauí",1
"220110 Avelino Lopes",1
"220115 Baixa Grande do Ribeiro",4
"220117 Barra D'Alcântara",1
"220120 Barras",24
"220140 Barro Duro",4
"220150 Batalha",3
"220157 Belém do Piauí",1
"220160 Beneditinos",8
"220170 Bertolínia",4
"220177 Boa Hora",1
"220180 Bocaina",1
"220190 Bom Jesus",12
"220191 Bom Princípio do Piauí",2
"220194 Boqueirão do Piauí",4
"220200 Buriti dos Lopes",22
"220205 Cabeceiras do Piauí",2
"220207 Cajazeiras do Piauí",1
"220208 Cajueiro da Praia",6
"220210 Campinas do Piauí",1
"220213 Campo Grande do Piauí",5
"220217 Campo Largo do Piauí",5
"220220 Campo Maior",31
"220225 Canavieira",3
"220230 Canto do Buriti",4
"220240 Capitão de Campos",1
"220250 Caracol",1
"220253 Caraúbas do Piauí",1
"220255 Caridade do Piauí",1
"220260 Castelo do Piauí",9
"220265 Caxingó",6
"220270 Cocal",7
"220272 Cocal dos Alves",2
"220273 Coivaras",6
"220275 Colônia do Gurguéia",5
"220280 Conceição do Canindé",1
"220290 Corrente",1
"220310 Cristino Castro",9
"220320 Curimatá",1
"220325 Curralinhos",3
"220330 Demerval Lobão",25
"220335 Dirceu Arcoverde",1
"220345 Dom Inocêncio",1
"220350 Elesbão Veloso",7
"220360 Eliseu Martins",5
"220370 Esperantina",20
"220380 Flores do Piauí",4
"220390 Floriano",32
"220400 Francinópolis",1
"220415 Francisco Macedo",1
"220420 Francisco Santos",7
"220435 Geminiano",3
"220440 Gilbués",3
"220450 Guadalupe",6
"220460 Hugo Napoleão",1
"220465 Ilha Grande",10
"220470 Inhuma",12
"220480 Ipiranga do Piauí",5
"220490 Isaías Coelho",2
"220500 Itainópolis",1
"220510 Itaueira",3
"220520 Jaicós",6
"220527 Jatobá do Piauí",2
"220530 Jerumenha",5
"220535 João Costa",2
"220540 Joaquim Pires",10
"220545 Joca Marques",2
"220550 José de Freitas",26
"220553 Jurema",1
"220555 Lagoa Alegre",4
"220558 Lagoa do Piauí",1
"220554 Lagoinha do Piauí",1
"220560 Landri Sales",3
"220570 Luís Correia",28
"220580 Luzilândia",7
"220585 Madeiro",2
"220590 Manoel Emídio",3
"220595 Marcolândia",6
"220600 Marcos Parente",3
"220610 Matias Olímpio",4
"220620 Miguel Alves",29
"220630 Miguel Leão",1
"220640 Monsenhor Gil",6
"220650 Monsenhor Hipólito",1
"220669 Murici dos Portelas",4
"220670 Nazaré do Piauí",3
"220672 Nazária",10
"220675 Nossa Senhora de Nazaré",1
"220680 Nossa Senhora dos Remédios",7
"220690 Novo Oriente do Piauí",3
"220700 Oeiras",4
"220710 Olho D'Água do Piauí",1
"220720 Padre Marcos",1
"220750 Palmeirais",18
"220770 Parnaíba",158
"220775 Passagem Franca do Piauí",4
"220777 Patos do Piauí",1
"220779 Pau D'Arco do Piauí",1
"220780 Paulistana",3
"220785 Pavussu",1
"220790 Pedro II",6
"220800 Picos",34
"220820 Pio IX",1
"220830 Piracuruca",4
"220840 Piripiri",15
"220850 Porto",6
"220855 Porto Alegre do Piauí",6
"220860 Prata do Piauí",1
"220870 Redenção do Gurguéia",5
"220880 Regeneração",14
"220887 Ribeira do Piauí",2
"220890 Ribeiro Gonçalves",2
"220900 Rio Grande do Piauí",3
"220910 Santa Cruz do Piauí",1
"220920 Santa Filomena",1
"220930 Santa Luz",2
"220935 Santana do Piauí",2
"220940 Santo Antônio de Lisboa",1
"220945 Santo Antônio dos Milagres",4
"220970 São Francisco do Piauí",1
"220980 São Gonçalo do Piauí",4
"220985 São João da Canabrava",1
"220987 São João da Fronteira",2
"220995 São João da Varjota",1
"220997 São João do Arraial",2
"221000 São João do Piauí",4
"221010 São José do Peixe",1
"221020 São José do Piauí",4
"221030 São Julião",2
"221035 São Lourenço do Piauí",1
"221037 São Luis do Piauí",1
"221040 São Miguel do Tapuio",6
"221050 São Pedro do Piauí",14
"221060 São Raimundo Nonato",5
"221063 Sebastião Leal",1
"221065 Sigefredo Pacheco",2
"221080 Simplício Mendes",2
"221093 Sussuapara",2
"221100 Teresina",1022
"221110 União",36
"221120 Uruçuí",11
"221130 Valença do Piauí",12
"221140 Várzea Grande",1
"221160 Vila Nova do Piauí",1
"230010 Abaiara",1
"230015 Acarape",3
"230020 Acaraú",7
"230030 Acopiara",6
"230040 Aiuaba",2
"230050 Alcântaras",3
"230060 Altaneira",8
"230070 Alto Santo",3
"230075 Amontada",11
"230080 Antonina do Norte",7
"230090 Apuiarés",4
"230100 Aquiraz",57
"230110 Aracati",15
"230120 Aracoiaba",10
"230125 Ararendá",7
"230130 Araripe",1
"230140 Aratuba",9
"230160 Assaré",4
"230170 Aurora",1
"230185 Banabuiú",7
"230190 Barbalha",71
"230195 Barreira",5
"230200 Barro",2
"230205 Barroquinha",7
"230210 Baturité",34
"230220 Beberibe",21
"230230 Bela Cruz",4
"230240 Boa Viagem",8
"230250 Brejo Santo",15
"230260 Camocim",14
"230270 Campos Sales",4
"230280 Canindé",59
"230290 Capistrano",12
"230300 Caridade",7
"230310 Cariré",4
"230320 Caririaçu",5
"230330 Cariús",3
"230340 Carnaubal",1
"230350 Cascavel",27
"230360 Catarina",1
"230365 Catunda",1
"230370 Caucaia",440
"230380 Cedro",2
"230390 Chaval",9
"230393 Choró",2
"230395 Chorozinho",13
"230400 Coreaú",15
"230410 Crateús",26
"230420 Crato",39
"230425 Cruz",4
"230428 Eusébio",49
"230430 Farias Brito",2
"230435 Forquilha",13
"230440 Fortaleza",3417
"230445 Fortim",1
"230450 Frecheirinha",6
"230460 General Sampaio",3
"230465 Graça",1
"230470 Granja",27
"230490 Groaíras",4
"230495 Guaiúba",23
"230500 Guaraciaba do Norte",7
"230510 Guaramiranga",3
"230520 Hidrolândia",12
"230523 Horizonte",60
"230526 Ibaretama",2
"230530 Ibiapina",3
"230533 Ibicuitinga",3
"230535 Icapuí",3
"230540 Icó",8
"230550 Iguatu",12
"230560 Independência",6
"230580 Ipu",6
"230590 Ipueiras",5
"230600 Iracema",3
"230610 Irauçuba",7
"230620 Itaiçaba",1
"230625 Itaitinga",23
"230630 Itapagé",13
"230640 Itapipoca",37
"230650 Itapiúna",4
"230655 Itarema",4
"230660 Itatira",4
"230670 Jaguaretama",5
"230680 Jaguaribara",6
"230690 Jaguaribe",1
"230700 Jaguaruana",4
"230710 Jardim",3
"230720 Jati",4
"230725 Jijoca de Jericoacoara",2
"230730 Juazeiro do Norte",137
"230750 Lavras da Mangabeira",8
"230760 Limoeiro do Norte",17
"230763 Madalena",8
"230765 Maracanaú",162
"230770 Maranguape",41
"230780 Marco",9
"230790 Martinópole",2
"230800 Massapê",24
"230810 Mauriti",13
"230820 Meruoca",5
"230830 Milagres",2
"230835 Milhã",1
"230837 Miraíma",2
"230840 Missão Velha",10
"230850 Mombaça",4
"230860 Monsenhor Tabosa",4
"230870 Morada Nova",17
"230880 Moraújo",2
"230890 Morrinhos",4
"230900 Mucambo",5
"230910 Mulungu",3
"230920 Nova Olinda",5
"230930 Nova Russas",11
"230940 Novo Oriente",8
"230945 Ocara",13
"230950 Orós",1
"230960 Pacajus",42
"230970 Pacatuba",60
"230980 Pacoti",3
"231000 Palhano",1
"231010 Palmácia",2
"231020 Paracuru",23
"231025 Paraipaba",19
"231030 Parambu",1
"231040 Paramoti",3
"231050 Pedra Branca",7
"231060 Penaforte",3
"231070 Pentecoste",23
"231080 Pereiro",6
"231085 Pindoretama",8
"231090 Piquet Carneiro",3
"231100 Poranga",4
"231110 Porteiras",4
"231120 Potengi",1
"231123 Potiretama",2
"231126 Quiterianópolis",9
"231130 Quixadá",39
"231135 Quixelô",3
"231140 Quixeramobim",29
"231150 Quixeré",2
"231160 Redenção",6
"231170 Reriutaba",4
"231180 Russas",17
"231190 Saboeiro",1
"231195 Salitre",1
"231220 Santa Quitéria",11
"231200 Santana do Acaraú",15
"231210 Santana do Cariri",2
"231230 São Benedito",4
"231240 São Gonçalo do Amarante",27
"231250 São João do Jaguaribe",2
"231260 São Luís do Curu",7
"231270 Senador Pompeu",5
"231280 Senador Sá",2
"231290 Sobral",70
"231300 Solonópole",3
"231310 Tabuleiro do Norte",11
"231320 Tamboril",7
"231325 Tarrafas",1
"231330 Tauá",23
"231335 Tejuçuoca",4
"231340 Tianguá",8
"231350 Trairi",11
"231355 Tururu",4
"231360 Ubajara",11
"231370 Umari",2
"231375 Umirim",10
"231380 Uruburetama",7
"231390 Uruoca",8
"231395 Varjota",12
"231400 Várzea Alegre",10
"231410 Viçosa do Ceará",7
"240010 Acari",4
"240020 Açu",33
"240030 Afonso Bezerra",6
"240050 Alexandria",1
"240070 Alto do Rodrigues",4
"240080 Angicos",11
"240090 Antônio Martins",1
"240100 Apodi",6
"240110 Areia Branca",15
"240120 Arês",9
"240130 Augusto Severo",1
"240140 Baía Formosa",4
"240145 Baraúna",13
"240150 Barcelona",1
"240160 Bento Fernandes",4
"240165 Bodó",1
"240170 Bom Jesus",10
"240180 Brejinho",14
"240185 Caiçara do Norte",11
"240200 Caicó",7
"240210 Campo Redondo",1
"240220 Canguaretama",34
"240230 Caraúbas",9
"240240 Carnaúba dos Dantas",1
"240250 Carnaubais",1
"240260 Ceará-Mirim",88
"240270 Cerro Corá",4
"240280 Coronel Ezequiel",1
"240290 Coronel João Pessoa",1
"240300 Cruzeta",1
"240310 Currais Novos",13
"240320 Doutor Severiano",3
"240350 Espírito Santo",4
"240360 Extremoz",57
"240375 Fernando Pedroza",2
"240380 Florânia",5
"240400 Frutuoso Gomes",1
"240410 Galinhos",3
"240420 Goianinha",15
"240430 Governador Dix-Sept Rosado",2
"240440 Grossos",9
"240450 Guamaré",15
"240460 Ielmo Marinho",12
"240470 Ipanguaçu",6
"240480 Ipueira",1
"240485 Itajá",3
"240490 Itaú",2
"240500 Jaçanã",2
"240510 Jandaíra",1
"240530 Januário Cicco",5
"240540 Japi",2
"240550 Jardim de Angicos",1
"240560 Jardim de Piranhas",1
"240580 João Câmara",41
"240600 José da Penha",1
"240610 Jucurutu",3
"240615 Jundiá",1
"240620 Lagoa d'Anta",2
"240630 Lagoa de Pedras",3
"240650 Lagoa Nova",7
"240660 Lagoa Salgada",6
"240670 Lajes",8
"240680 Lajes Pintadas",4
"240700 Luís Gomes",1
"240710 Macaíba",81
"240720 Macau",15
"240725 Major Sales",1
"240740 Martins",1
"240750 Maxaranguape",18
"240760 Messias Targino",1
"240770 Montanhas",3
"240780 Monte Alegre",8
"240800 Mossoró",109
"240810 Natal",1118
"240820 Nísia Floresta",12
"240830 Nova Cruz",20
"240880 Parazinho",6
"240890 Parelhas",6
"240325 Parnamirim",95
"240930 Patu",3
"240950 Pedra Grande",5
"240970 Pedro Avelino",10
"240980 Pedro Velho",5
"240990 Pendências",5
"241010 Poço Branco",8
"241025 Porto do Mangue",5
"241040 Pureza",13
"241050 Rafael Fernandes",1
"241070 Riacho da Cruz",1
"241090 Riachuelo",11
"240895 Rio do Fogo",14
"241110 Ruy Barbosa",1
"241120 Santa Cruz",20
"240933 Santa Maria",2
"241140 Santana do Matos",2
"241150 Santo Antônio",12
"241160 São Bento do Norte",1
"241170 São Bento do Trairí",4
"241190 São Francisco do Oeste",1
"241200 São Gonçalo do Amarante",94
"241210 São João do Sabugi",1
"241220 São José de Mipibu",26
"241230 São José do Campestre",3
"241250 São Miguel",3
"241255 São Miguel do Gostoso",2
"241260 São Paulo do Potengi",12
"241270 São Pedro",5
"241280 São Rafael",5
"241290 São Tomé",8
"241300 São Vicente",3
"241310 Senador Elói de Souza",7
"241320 Senador Georgino Avelino",4
"241030 Serra Caiada",9
"241330 Serra de São Bento",3
