"cidade","hepatites"
"150549 Palestina do Pará",6
"150550 Paragominas",35
"150553 Parauapebas",120
"150555 Pau D'Arco",5
"150563 Piçarra",3
"150565 Placas",30
"150570 Ponta de Pedras",3
"150580 Portel",13
"150590 Porto de Moz",2
"150600 Prainha",8
"150610 Primavera",3
"150611 Quatipuru",2
"150613 Redenção",47
"150616 Rio Maria",4
"150618 Rondon do Pará",9
"150619 Rurópolis",24
"150620 Salinópolis",18
"150630 Salvaterra",2
"150635 Santa Bárbara do Pará",4
"150650 Santa Izabel do Pará",15
"150655 Santa Luzia do Pará",4
"150658 Santa Maria das Barreiras",3
"150660 Santa Maria do Pará",3
"150670 Santana do Araguaia",33
"150680 Santarém",502
"150690 Santarém Novo",1
"150700 Santo Antônio do Tauá",2
"150710 São Caetano de Odivelas",3
"150715 São Domingos do Araguaia",2
"150720 São Domingos do Capim",14
"150730 São Félix do Xingu",25
"150745 São Geraldo do Araguaia",6
"150746 São João da Ponta",1
"150747 São João de Pirabas",5
"150750 São João do Araguaia",6
"150760 São Miguel do Guamá",5
"150770 São Sebastião da Boa Vista",5
"150780 Senador José Porfírio",3
"150790 Soure",1
"150795 Tailândia",19
"150796 Terra Alta",2
"150797 Terra Santa",7
"150800 Tomé-Açu",4
"150803 Tracuateua",3
"150805 Trairão",11
"150808 Tucumã",30
"150810 Tucuruí",68
"150812 Ulianópolis",10
"150815 Uruará",13
"150820 Vigia",7
"150830 Viseu",5
"150835 Vitória do Xingu",7
"150840 Xinguara",54
"150000 Município ignorado - PA",1
"160010 Amapá",3
"160020 Calçoene",6
"160021 Cutias",3
"160023 Ferreira Gomes",6
"160025 Itaubal",5
"160027 Laranjal do Jari",39
"160030 Macapá",395
"160040 Mazagão",21
"160050 Oiapoque",4
"160015 Pedra Branca do Amapari",5
"160053 Porto Grande",9
"160055 Pracuúba",2
"160060 Santana",94
"160005 Serra do Navio",2
"160070 Tartarugalzinho",9
"160080 Vitória do Jari",3
"170025 Abreulândia",1
"170030 Aguiarnópolis",3
"170035 Aliança do Tocantins",1
"170040 Almas",1
"170070 Alvorada",4
"170100 Ananás",3
"170110 Aparecida do Rio Negro",6
"170130 Aragominas",8
"170200 Araguaçu",1
"170210 Araguaína",336
"170220 Araguatins",15
"170230 Arapoema",5
"170240 Arraias",2
"170255 Augustinópolis",10
"170290 Axixá do Tocantins",1
"170300 Babaçulândia",2
"170305 Bandeirantes do Tocantins",2
"170307 Barra do Ouro",1
"170320 Bernardo Sayão",1
"170360 Brasilândia do Tocantins",1
"170380 Buriti do Tocantins",3
"170382 Cachoeirinha",1
"170384 Campos Lindos",9
"170386 Cariri do Tocantins",5
"170388 Carmolândia",2
"170389 Carrasco Bonito",6
"170390 Caseara",2
"170410 Centenário",1
"170460 Chapada de Areia",1
"170550 Colinas do Tocantins",15
"171670 Colméia",4
"170560 Conceição do Tocantins",1
"170600 Couto Magalhães",6
"170610 Cristalândia",2
"170650 Darcinópolis",2
"170700 Dianópolis",4
"170710 Divinópolis do Tocantins",1
"170730 Dueré",2
"170765 Figueirópolis",2
"170770 Filadélfia",2
"170820 Formoso do Araguaia",3
"170825 Fortaleza do Tabocão",1
"170830 Goianorte",2
"170900 Goiatins",6
"170930 Guaraí",6
"170950 Gurupi",55
"171070 Itaguatins",1
"171090 Itapiratins",1
"171110 Itaporã do Tocantins",3
"171150 Jaú do Tocantins",2
"171190 Lagoa da Confusão",3
"171195 Lagoa do Tocantins",1
"171240 Lizarda",3
"171245 Luzinópolis",1
"171250 Marianópolis do Tocantins",3
"171270 Mateiros",1
"171280 Maurilândia do Tocantins",4
"171320 Miracema do Tocantins",4
"171330 Miranorte",3
"171370 Monte Santo do Tocantins",1
"171395 Muricilândia",2
"171420 Natividade",1
"171488 Nova Olinda",4
"171500 Nova Rosalândia",1
"171510 Novo Acordo",2
"171515 Novo Alegre",1
"171525 Novo Jardim",1
"172100 Palmas",196
"171570 Palmeirante",1
"171380 Palmeiras do Tocantins",1
"171575 Palmeirópolis",3
"171610 Paraíso do Tocantins",26
"171630 Pau D'Arco",1
"171650 Pedro Afonso",4
"171660 Peixe",8
"171665 Pequizeiro",2
"171720 Piraquê",1
"171750 Pium",2
"171780 Ponte Alta do Bom Jesus",2
"171790 Ponte Alta do Tocantins",1
"171800 Porto Alegre do Tocantins",1
"171820 Porto Nacional",39
"171840 Presidente Kennedy",1
"171845 Pugmil",2
"171855 Riachinho",3
"171870 Rio dos Bois",1
"171880 Sampaio",7
"171884 Sandolândia",2
"171886 Santa Fé do Araguaia",4
"171888 Santa Maria do Tocantins",1
"171890 Santa Rosa do Tocantins",3
"172000 Santa Terezinha do Tocantins",1
"172010 São Bento do Tocantins",2
"172020 São Miguel do Tocantins",6
"172049 São Valério",1
"172065 Silvanópolis",3
"172090 Taguatinga",1
"172097 Talismã",3
"172110 Tocantínia",1
"172120 Tocantinópolis",4
"172208 Wanderlândia",3
"172210 Xambioá",8
"210005 Açailândia",26
"210020 Alcântara",7
"210030 Aldeias Altas",3
"210043 Alto Alegre do Maranhão",2
"210047 Alto Alegre do Pindaré",3
"210055 Amapá do Maranhão",6
"210060 Amarante do Maranhão",14
"210070 Anajatuba",10
"210080 Anapurus",11
"210087 Araguanã",3
"210090 Araioses",2
"210095 Arame",4
"210100 Arari",2
"210120 Bacabal",25
"210125 Bacabeira",4
"210130 Bacuri",5
"210140 Balsas",24
"210150 Barão de Grajaú",2
"210160 Barra do Corda",33
"210170 Barreirinhas",27
"210177 Bela Vista do Maranhão",2
"210173 Belágua",3
"210180 Benedito Leite",1
"210190 Bequimão",9
"210200 Bom Jardim",5
"210203 Bom Jesus das Selvas",3
"210210 Brejo",32
"210215 Brejo de Areia",1
"210220 Buriti",2
"210230 Buriti Bravo",1
"210232 Buriticupu",18
"210235 Buritirana",4
"210237 Cachoeira Grande",2
"210250 Cajari",2
"210255 Campestre do Maranhão",4
"210270 Cantanhede",2
"210280 Carolina",4
"210290 Carutapera",2
"210300 Caxias",38
"210310 Cedral",3
"210312 Central do Maranhão",1
"210320 Chapadinha",20
"210325 Cidelândia",3
"210330 Codó",86
"210340 Coelho Neto",10
"210350 Colinas",4
"210355 Conceição do Lago-Açu",3
"210360 Coroatá",23
"210370 Cururupu",16
"210375 Davinópolis",1
"210380 Dom Pedro",1
"210400 Esperantinópolis",2
"210405 Estreito",6
"210409 Formosa da Serra Negra",5
"210420 Fortuna",2
"210440 Gonçalves Dias",4
"210450 Governador Archer",3
"210455 Governador Edison Lobão",6
"210465 Governador Newton Bello",1
"210467 Governador Nunes Freire",5
"210470 Graça Aranha",1
"210480 Grajaú",6
"210490 Guimarães",1
"210500 Humberto de Campos",18
"210510 Icatu",10
"210515 Igarapé do Meio",4
"210520 Igarapé Grande",1
"210530 Imperatriz",162
"210535 Itaipava do Grajaú",3
"210540 Itapecuru Mirim",18
"210542 Itinga do Maranhão",3
"210547 Jenipapo dos Vieiras",2
"210550 João Lisboa",5
"210560 Joselândia",1
"210565 Junco do Maranhão",3
"210570 Lago da Pedra",6
"210580 Lago do Junco",1
"210594 Lago dos Rodrigues",1
"210590 Lago Verde",2
"210592 Lagoa do Mato",1
"210596 Lagoa Grande do Maranhão",2
"210600 Lima Campos",1
"210610 Loreto",1
"210632 Maracaçumé",12
"210640 Mata Roma",3
"210660 Matões",2
"210663 Matões do Norte",3
"210667 Milagres do Maranhão",1
"210670 Mirador",2
"210675 Miranda do Norte",5
"210680 Mirinzal",5
"210690 Monção",1
"210700 Montes Altos",2
"210710 Morros",5
"210720 Nina Rodrigues",2
"210725 Nova Colinas",1
"210740 Olho d'Água das Cunhãs",2
"210745 Olinda Nova do Maranhão",2
"210750 Paço do Lumiar",43
"210770 Paraibano",3
"210780 Parnarama",2
"210790 Passagem Franca",1
"210800 Pastos Bons",2
"210805 Paulino Neves",1
"210810 Paulo Ramos",2
"210820 Pedreiras",26
"210830 Penalva",4
"210840 Peri Mirim",1
"210845 Peritoró",1
"210850 Pindaré-Mirim",2
"210860 Pinheiro",13
"210870 Pio XII",4
"210880 Pirapemas",3
"210890 Poção de Pedras",7
"210900 Porto Franco",3
"210905 Porto Rico do Maranhão",1
"210910 Presidente Dutra",7
"210920 Presidente Juscelino",2
"210923 Presidente Médici",1
"210930 Presidente Vargas",1
"210940 Primeira Cruz",8
"210945 Raposa",13
"210950 Riachão",5
"210955 Ribamar Fiquene",2
"210960 Rosário",9
"210970 Sambaíba",2
"210980 Santa Helena",9
"210990 Santa Inês",25
"211000 Santa Luzia",4
"211003 Santa Luzia do Paruá",3
"211010 Santa Quitéria do Maranhão",14
"211020 Santa Rita",7
"211023 Santana do Maranhão",1
"211027 Santo Amaro do Maranhão",5
"211040 São Benedito do Rio Preto",3
"211050 São Bento",5
"211060 São Bernardo",4
"211070 São Domingos do Maranhão",1
"211080 São Félix de Balsas",4
"211085 São Francisco do Brejão",1
"211100 São João Batista",3
"211102 São João do Carú",6
"211110 São João dos Patos",1
"211120 São José de Ribamar",70
"211130 São Luís",503
"211140 São Luís Gonzaga do Maranhão",2
"211150 São Mateus do Maranhão",18
"211153 São Pedro da Água Branca",2
"211160 São Raimundo das Mangabeiras",3
"211163 São Raimundo do Doca Bezerra",1
"211170 São Vicente Ferrer",4
"211172 Satubinha",2
"211174 Senador Alexandre Costa",1
"211178 Serrano do Maranhão",3
"211180 Sítio Novo",5
"211195 Sucupira do Riachão",1
"211220 Timon",11
"211223 Trizidela do Vale",3
"211227 Tufilândia",3
"211230 Tuntum",4
"211240 Turiaçu",1
"211245 Turilândia",5
"211250 Tutóia",2
"211260 Urbano Santos",22
"211270 Vargem Grande",3
"211280 Viana",12
"211290 Vitória do Mearim",4
"211300 Vitorino Freire",4
"211400 Zé Doca",11
"210000 Município ignorado - MA",1
"220010 Agricolândia",1
"220020 Água Branca",1
"220030 Alto Longá",1
"220040 Altos",4
"220050 Amarante",2
"220080 Antônio Almeida",2
"220095 Aroeiras do Itaim",1
"220105 Assunção do Piauí",4
"220110 Avelino Lopes",1
"220120 Barras",4
"220155 Bela Vista do Piauí",1
"220170 Bertolínia",1
"220173 Betânia do Piauí",3
"220190 Bom Jesus",4
"220192 Bonfim do Piauí",1
"220194 Boqueirão do Piauí",1
"220208 Cajueiro da Praia",2
"220210 Campinas do Piauí",1
"220217 Campo Largo do Piauí",5
"220220 Campo Maior",4
"220230 Canto do Buriti",2
"220245 Capitão Gervásio Oliveira",1
"220260 Castelo do Piauí",1
"220270 Cocal",2
"220273 Coivaras",2
"220280 Conceição do Canindé",1
"220290 Corrente",2
"220300 Cristalândia do Piauí",1
"220320 Curimatá",1
"220330 Demerval Lobão",1
"220340 Dom Expedito Lopes",1
"220350 Elesbão Veloso",1
"220370 Esperantina",3
"220390 Floriano",13
"220400 Francinópolis",1
"220415 Francisco Macedo",1
"220440 Gilbués",1
"220455 Guaribas",1
"220460 Hugo Napoleão",2
"220480 Ipiranga do Piauí",1
"220500 Itainópolis",4
"220515 Jacobina do Piauí",1
"220520 Jaicós",1
"220527 Jatobá do Piauí",1
"220530 Jerumenha",1
"220550 José de Freitas",2
"220552 Júlio Borges",2
"220558 Lagoa do Piauí",2
"220560 Landri Sales",1
"220570 Luís Correia",2
"220580 Luzilândia",2
"220595 Marcolândia",1
"220610 Matias Olímpio",5
"220620 Miguel Alves",3
"220640 Monsenhor Gil",3
"220650 Monsenhor Hipólito",1
"220660 Monte Alegre do Piauí",1
"220680 Nossa Senhora dos Remédios",1
"220700 Oeiras",5
"220720 Padre Marcos",3
"220735 Pajeú do Piauí",1
"220760 Parnaguá",2
"220770 Parnaíba",21
"220780 Paulistana",1
"220790 Pedro II",2
"220800 Picos",40
"220820 Pio IX",1
"220830 Piracuruca",2
"220840 Piripiri",12
"220870 Redenção do Gurguéia",1
"220880 Regeneração",2
"220965 São Francisco de Assis do Piauí",13
"220970 São Francisco do Piauí",1
"220975 São Gonçalo do Gurguéia",1
"220987 São João da Fronteira",1
"220995 São João da Varjota",2
"221000 São João do Piauí",1
"221010 São José do Peixe",2
"221030 São Julião",1
"221035 São Lourenço do Piauí",1
"221037 São Luis do Piauí",1
"221039 São Miguel do Fidalgo",1
"221040 São Miguel do Tapuio",4
"221050 São Pedro do Piauí",1
"221060 São Raimundo Nonato",4
"221070 Simões",2
"221093 Sussuapara",2
"221095 Tamboril do Piauí",1
"221097 Tanque do Piauí",2
"221100 Teresina",291
"221110 União",4
"221120 Uruçuí",1
"221130 Valença do Piauí",3
"230010 Abaiara",2
"230015 Acarape",21
"230020 Acaraú",8
"230030 Acopiara",3
"230040 Aiuaba",1
"230050 Alcântaras",1
"230075 Amontada",2
"230090 Apuiarés",3
"230100 Aquiraz",16
"230110 Aracati",30
"230120 Aracoiaba",5
"230125 Ararendá",2
"230130 Araripe",1
"230140 Aratuba",4
"230160 Assaré",1
"230185 Banabuiú",2
"230190 Barbalha",2
"230195 Barreira",3
"230200 Barro",2
"230205 Barroquinha",4
"230210 Baturité",5
"230220 Beberibe",4
"230230 Bela Cruz",5
"230240 Boa Viagem",6
"230250 Brejo Santo",7
"230260 Camocim",1
"230270 Campos Sales",1
"230280 Canindé",8
"230290 Capistrano",1
"230300 Caridade",2
"230310 Cariré",1
"230320 Caririaçu",1
"230330 Cariús",1
"230340 Carnaubal",1
"230350 Cascavel",12
"230365 Catunda",1
"230370 Caucaia",59
"230380 Cedro",7
"230393 Choró",2
"230395 Chorozinho",4
"230400 Coreaú",4
"230410 Crateús",15
"230420 Crato",12
"230423 Croatá",1
"230425 Cruz",3
"230427 Ererê",2
"230428 Eusébio",22
"230435 Forquilha",3
"230440 Fortaleza",981
"230445 Fortim",5
"230450 Frecheirinha",1
"230460 General Sampaio",1
"230465 Graça",2
"230470 Granja",1
"230495 Guaiúba",3
"230500 Guaraciaba do Norte",2
"230510 Guaramiranga",1
"230520 Hidrolândia",2
"230523 Horizonte",7
"230526 Ibaretama",1
"230530 Ibiapina",2
"230533 Ibicuitinga",1
"230535 Icapuí",4
"230540 Icó",14
"230550 Iguatu",5
"230560 Independência",3
"230565 Ipaporanga",1
"230580 Ipu",7
"230590 Ipueiras",3
"230600 Iracema",1
"230610 Irauçuba",3
"230620 Itaiçaba",7
"230625 Itaitinga",7
"230630 Itapagé",1
"230640 Itapipoca",29
"230655 Itarema",4
"230660 Itatira",1
"230670 Jaguaretama",1
"230690 Jaguaribe",5
"230700 Jaguaruana",8
"230710 Jardim",2
"230725 Jijoca de Jericoacoara",5
"230730 Juazeiro do Norte",11
"230750 Lavras da Mangabeira",1
"230760 Limoeiro do Norte",17
"230765 Maracanaú",40
"230770 Maranguape",13
"230780 Marco",4
"230790 Martinópole",1
"230810 Mauriti",2
"230820 Meruoca",1
"230830 Milagres",4
"230835 Milhã",3
"230837 Miraíma",1
"230840 Missão Velha",4
"230850 Mombaça",4
"230860 Monsenhor Tabosa",1
"230870 Morada Nova",2
"230900 Mucambo",1
"230920 Nova Olinda",3
"230930 Nova Russas",4
"230940 Novo Oriente",1
"230945 Ocara",1
"230950 Orós",1
"230960 Pacajus",14
"230970 Pacatuba",20
"230980 Pacoti",1
"231010 Palmácia",1
"231020 Paracuru",7
"231025 Paraipaba",6
"231030 Parambu",4
"231050 Pedra Branca",2
"231070 Pentecoste",4
"231085 Pindoretama",1
"231095 Pires Ferreira",1
"231100 Poranga",1
"231110 Porteiras",3
"231120 Potengi",1
"231130 Quixadá",7
"231140 Quixeramobim",15
"231150 Quixeré",2
"231160 Redenção",53
"231170 Reriutaba",2
"231180 Russas",3
"231220 Santa Quitéria",2
"231210 Santana do Cariri",3
"231230 São Benedito",3
"231240 São Gonçalo do Amarante",14
"231250 São João do Jaguaribe",2
"231260 São Luís do Curu",1
"231280 Senador Sá",1
"231290 Sobral",35
"231300 Solonópole",1
"231310 Tabuleiro do Norte",5
"231320 Tamboril",1
"231330 Tauá",2
"231335 Tejuçuoca",1
"231340 Tianguá",9
"231350 Trairi",3
"231355 Tururu",1
"231360 Ubajara",3
"231375 Umirim",7
"231380 Uruburetama",2
"231390 Uruoca",1
"231395 Varjota",4
"231400 Várzea Alegre",4
"231410 Viçosa do Ceará",9
"240010 Acari",3
"240020 Açu",14
"240050 Alexandria",1
"240070 Alto do Rodrigues",1
"240080 Angicos",3
"240100 Apodi",1
"240110 Areia Branca",9
"240120 Arês",1
"240130 Augusto Severo",1
"240140 Baía Formosa",1
"240145 Baraúna",2
"240170 Bom Jesus",2
"240180 Brejinho",1
"240200 Caicó",20
"240220 Canguaretama",9
"240250 Carnaubais",1
"240260 Ceará-Mirim",7
"240270 Cerro Corá",1
"240280 Coronel Ezequiel",1
"240300 Cruzeta",1
"240310 Currais Novos",8
"240320 Doutor Severiano",2
"240330 Encanto",2
"240340 Equador",1
"240360 Extremoz",4
"240380 Florânia",1
"240400 Frutuoso Gomes",1
"240420 Goianinha",4
"240430 Governador Dix-Sept Rosado",3
"240440 Grossos",1
"240450 Guamaré",4
"240460 Ielmo Marinho",1
"240470 Ipanguaçu",1
"240530 Januário Cicco",2
"240570 Jardim do Seridó",2
"240580 João Câmara",6
"240610 Jucurutu",2
"240650 Lagoa Nova",1
"240660 Lagoa Salgada",2
"240670 Lajes",3
"240700 Luís Gomes",2
"240710 Macaíba",10
"240720 Macau",7
"240730 Marcelino Vieira",1
"240750 Maxaranguape",1
"240780 Monte Alegre",4
"240790 Monte das Gameleiras",2
"240800 Mossoró",91
"240810 Natal",272
"240820 Nísia Floresta",10
"240830 Nova Cruz",4
"240870 Paraú",1
"240880 Parazinho",1
"240890 Parelhas",1
"240325 Parnamirim",65
"240910 Passa e Fica",2
"240920 Passagem",1
"240930 Patu",1
"240940 Pau dos Ferros",4
"240980 Pedro Velho",2
"240990 Pendências",3
"241010 Poço Branco",4
"241040 Pureza",3
"241090 Riachuelo",1
"241120 Santa Cruz",4
"240933 Santa Maria",1
"241160 São Bento do Norte",1
"241200 São Gonçalo do Amarante",15
"241210 São João do Sabugi",2
"241220 São José de Mipibu",10
"241240 São José do Seridó",1
"241250 São Miguel",2
"241260 São Paulo do Potengi",1
"241290 São Tomé",1
"241300 São Vicente",2
"241310 Senador Elói de Souza",1
"241335 Serra do Mel",1
"241340 Serra Negra do Norte",2
"241350 Serrinha",2
"241360 Severiano Melo",1
"241370 Sítio Novo",1
"241380 Taboleiro Grande",1
"241390 Taipu",2
"241400 Tangará",2
"241105 Tibau",2
"241420 Tibau do Sul",9
"241440 Touros",4
"241460 Upanema",1
"241470 Várzea",1
"250020 Aguiar",2
"250030 Alagoa Grande",4
"250060 Alhandra",5
"250080 Araçagi",1
"250100 Araruna",1
"250110 Areia",1
"250130 Aroeiras",1
"250135 Assunção",2
"250140 Baía da Traição",1
"250150 Bananeiras",1
"250153 Baraúna",1
"250160 Barra de Santa Rosa",4
"250180 Bayeux",18
"250190 Belém",2
"250240 Bonito de Santa Fé",1
"250250 Boqueirão",2
"250300 Caaporã",16
"250320 Cabedelo",20
"250350 Cacimba de Dentro",2
"250355 Cacimbas",2
"250360 Caiçara",2
"250370 Cajazeiras",7
"250400 Campina Grande",54
"250403 Capim",1
"250410 Carrapateira",3
"250430 Catolé do Rocha",1
"250440 Conceição",2
"250450 Condado",1
"250460 Conde",2
"250470 Congo",1
"250480 Coremas",2
"250485 Coxixola",1
"250490 Cruz do Espírito Santo",1
"250523 Cuité de Mamanguape",1
"250520 Cuitegi",1
"250527 Curral de Cima",4
"250530 Curral Velho",1
"250540 Desterro",4
"250560 Diamante",1
"250600 Esperança",5
"250610 Fagundes",2
"250630 Guarabira",13
"250640 Gurinhém",3
"250680 Ingá",5
"250690 Itabaiana",3
"250700 Itaporanga",2
"250710 Itapororoca",3
"250730 Jacaraú",2
"250750 João Pessoa",463
"250770 Juazeirinho",6
"250780 Junco do Seridó",4
"250790 Juripiranga",1
"250820 Lagoa de Dentro",4
"250830 Lagoa Seca",3
"250850 Livramento",8
"250855 Logradouro",1
"250860 Lucena",5
"250890 Mamanguape",5
"250900 Manaíra",7
"250905 Marcação",1
"250915 Marizópolis",1
"250920 Massaranduba",1
"250930 Mataraca",5
"250950 Montadas",1
"250970 Monteiro",3
"251010 Nova Floresta",2
"251080 Patos",23
"251100 Pedra Branca",2
"251110 Pedra Lavrada",1
"251120 Pedras de Fogo",4
"251130 Piancó",1
"251140 Picuí",4
"251150 Pilar",2
"251190 Pitimbu",7
"251200 Pocinhos",1
"251203 Poço Dantas",1
"251210 Pombal",4
"251230 Princesa Isabel",3
"251250 Queimadas",6
"251260 Quixabá",1
"251270 Remígio",1
"251276 Riachão do Poço",1
"251290 Rio Tinto",9
"251340 Santa Luzia",1
"251370 Santa Rita",49
"251390 São Bento",6
"250070 São João do Rio do Peixe",1
"251410 São João do Tigre",1
"251440 São José de Espinharas",1
"251450 São José de Piranhas",2
"251455 São José de Princesa",1
"251490 São Mamede",1
"251500 São Miguel de Taipu",1
"251510 São Sebastião de Lagoa de Roça",1
"251540 São Vicente do Seridó",1
"251530 Sapé",17
"251550 Serra Branca",2
"251590 Serraria",1
"251593 Sertãozinho",2
"251600 Solânea",3
"251610 Soledade",2
"251620 Sousa",5
"251640 Tacima",2
"251650 Taperoá",2
"251660 Tavares",1
"251670 Teixeira",1
"251680 Triunfo",2
"251690 Uiraúna",1
"251700 Umbuzeiro",1
"250550 Vista Serrana",1
"260005 Abreu e Lima",35
"260010 Afogados da Ingazeira",1
"260020 Afrânio",2
"260030 Agrestina",1
