"cidade","hanseniase"
"230700 Jaguaruana",10
"230710 Jardim",19
"230725 Jijoca de Jericoacoara",6
"230730 Juazeiro do Norte",485
"230740 Jucás",57
"230750 Lavras da Mangabeira",62
"230760 Limoeiro do Norte",16
"230763 Madalena",10
"230765 Maracanaú",489
"230770 Maranguape",127
"230780 Marco",11
"230790 Martinópole",25
"230800 Massapê",50
"230810 Mauriti",38
"230820 Meruoca",7
"230830 Milagres",28
"230835 Milhã",7
"230837 Miraíma",26
"230840 Missão Velha",47
"230850 Mombaça",30
"230860 Monsenhor Tabosa",6
"230870 Morada Nova",139
"230880 Moraújo",17
"230890 Morrinhos",5
"230900 Mucambo",1
"230910 Mulungu",6
"230920 Nova Olinda",32
"230930 Nova Russas",45
"230940 Novo Oriente",15
"230945 Ocara",22
"230950 Orós",18
"230960 Pacajus",55
"230970 Pacatuba",72
"230980 Pacoti",4
"230990 Pacujá",1
"231000 Palhano",2
"231010 Palmácia",35
"231020 Paracuru",17
"231025 Paraipaba",12
"231030 Parambu",68
"231040 Paramoti",27
"231050 Pedra Branca",33
"231060 Penaforte",4
"231070 Pentecoste",50
"231080 Pereiro",3
"231085 Pindoretama",6
"231090 Piquet Carneiro",13
"231095 Pires Ferreira",4
"231100 Poranga",5
"231110 Porteiras",11
"231120 Potengi",4
"231123 Potiretama",10
"231126 Quiterianópolis",8
"231130 Quixadá",70
"231135 Quixelô",14
"231140 Quixeramobim",90
"231150 Quixeré",24
"231160 Redenção",47
"231170 Reriutaba",35
"231180 Russas",20
"231190 Saboeiro",11
"231195 Salitre",4
"231220 Santa Quitéria",45
"231200 Santana do Acaraú",17
"231210 Santana do Cariri",32
"231230 São Benedito",8
"231240 São Gonçalo do Amarante",65
"231250 São João do Jaguaribe",3
"231260 São Luís do Curu",23
"231270 Senador Pompeu",51
"231280 Senador Sá",6
"231290 Sobral",413
"231300 Solonópole",32
"231310 Tabuleiro do Norte",36
"231320 Tamboril",21
"231325 Tarrafas",7
"231330 Tauá",88
"231335 Tejuçuoca",28
"231340 Tianguá",12
"231350 Trairi",8
"231355 Tururu",23
"231360 Ubajara",6
"231370 Umari",8
"231375 Umirim",49
"231380 Uruburetama",49
"231390 Uruoca",10
"231395 Varjota",69
"231400 Várzea Alegre",90
"231410 Viçosa do Ceará",4
"240010 Acari",1
"240020 Açu",8
"240030 Afonso Bezerra",4
"240040 Água Nova",4
"240050 Alexandria",19
"240060 Almino Afonso",2
"240070 Alto do Rodrigues",3
"240080 Angicos",17
"240090 Antônio Martins",1
"240100 Apodi",7
"240110 Areia Branca",14
"240130 Augusto Severo",1
"240140 Baía Formosa",3
"240145 Baraúna",11
"240150 Barcelona",2
"240160 Bento Fernandes",1
"240170 Bom Jesus",1
"240180 Brejinho",7
"240185 Caiçara do Norte",9
"240200 Caicó",15
"240210 Campo Redondo",5
"240220 Canguaretama",20
"240230 Caraúbas",17
"240250 Carnaubais",3
"240260 Ceará-Mirim",14
"240270 Cerro Corá",3
"240290 Coronel João Pessoa",1
"240300 Cruzeta",23
"240310 Currais Novos",9
"240320 Doutor Severiano",1
"240330 Encanto",2
"240340 Equador",1
"240350 Espírito Santo",5
"240360 Extremoz",4
"240375 Fernando Pedroza",13
"240380 Florânia",1
"240400 Frutuoso Gomes",3
"240410 Galinhos",2
"240420 Goianinha",6
"240430 Governador Dix-Sept Rosado",3
"240440 Grossos",2
"240450 Guamaré",15
"240460 Ielmo Marinho",2
"240490 Itaú",12
"240500 Jaçanã",1
"240510 Jandaíra",2
"240520 Janduís",4
"240530 Januário Cicco",1
"240550 Jardim de Angicos",1
"240560 Jardim de Piranhas",2
"240580 João Câmara",14
"240600 José da Penha",2
"240610 Jucurutu",2
"240620 Lagoa d'Anta",1
"240630 Lagoa de Pedras",6
"240650 Lagoa Nova",1
"240660 Lagoa Salgada",2
"240670 Lajes",6
"240690 Lucrécia",3
"240700 Luís Gomes",2
"240710 Macaíba",16
"240720 Macau",31
"240730 Marcelino Vieira",1
"240750 Maxaranguape",7
"240760 Messias Targino",2
"240770 Montanhas",12
"240780 Monte Alegre",2
"240790 Monte das Gameleiras",1
"240800 Mossoró",421
"240810 Natal",184
"240820 Nísia Floresta",8
"240830 Nova Cruz",30
"240840 Olho-d'Água do Borges",10
"240870 Paraú",1
"240890 Parelhas",3
"240325 Parnamirim",54
"240910 Passa e Fica",4
"240930 Patu",25
"240940 Pau dos Ferros",8
"240970 Pedro Avelino",3
"240980 Pedro Velho",10
"241010 Poço Branco",9
"241020 Portalegre",1
"241025 Porto do Mangue",2
"241060 Rafael Godeiro",1
"241070 Riacho da Cruz",1
"241080 Riacho de Santana",1
"241090 Riachuelo",2
"240895 Rio do Fogo",1
"241100 Rodolfo Fernandes",1
"241120 Santa Cruz",4
"240933 Santa Maria",2
"241140 Santana do Matos",10
"241150 Santo Antônio",23
"241160 São Bento do Norte",3
"241200 São Gonçalo do Amarante",21
"241210 São João do Sabugi",1
"241220 São José de Mipibu",4
"241230 São José do Campestre",1
"241240 São José do Seridó",1
"241270 São Pedro",2
"241290 São Tomé",3
"241300 São Vicente",1
"241320 Senador Georgino Avelino",2
"241030 Serra Caiada",4
"241330 Serra de São Bento",1
"241335 Serra do Mel",8
"241350 Serrinha",4
"241360 Severiano Melo",1
"241370 Sítio Novo",1
"241380 Taboleiro Grande",1
"241390 Taipu",5
"241410 Tenente Ananias",7
"241105 Tibau",4
"241420 Tibau do Sul",3
"241440 Touros",2
"241445 Triunfo Potiguar",2
"241450 Umarizal",2
"241460 Upanema",6
"241470 Várzea",11
"241480 Vera Cruz",6
"241500 Vila Flor",4
"250010 Água Branca",8
"250020 Aguiar",4
"250030 Alagoa Grande",39
"250040 Alagoa Nova",9
"250050 Alagoinha",46
"250053 Alcantil",1
"250060 Alhandra",10
"250077 Aparecida",21
"250080 Araçagi",9
"250100 Araruna",2
"250110 Areia",6
"250115 Areia de Baraúnas",1
"250120 Areial",3
"250130 Aroeiras",24
"250135 Assunção",6
"250140 Baía da Traição",1
"250150 Bananeiras",2
"250160 Barra de Santa Rosa",5
"250157 Barra de Santana",6
"250170 Barra de São Miguel",8
"250180 Bayeux",150
"250190 Belém",13
"250200 Belém do Brejo do Cruz",3
"250210 Boa Ventura",6
"250215 Boa Vista",1
"250220 Bom Jesus",2
"250240 Bonito de Santa Fé",18
"250250 Boqueirão",10
"250270 Borborema",1
"250280 Brejo do Cruz",9
"250290 Brejo dos Santos",3
"250300 Caaporã",25
"250310 Cabaceiras",2
"250320 Cabedelo",84
"250330 Cachoeira dos Índios",3
"250340 Cacimba de Areia",7
"250350 Cacimba de Dentro",3
"250355 Cacimbas",3
"250360 Caiçara",3
"250370 Cajazeiras",184
"250375 Cajazeirinhas",1
"250380 Caldas Brandão",11
"250390 Camalaú",1
"250400 Campina Grande",270
"250403 Capim",2
"250410 Carrapateira",1
"250420 Catingueira",1
"250430 Catolé do Rocha",35
"250435 Caturité",2
"250440 Conceição",40
"250450 Condado",1
"250460 Conde",15
"250470 Congo",5
"250480 Coremas",14
"250490 Cruz do Espírito Santo",19
"250500 Cubati",1
"250510 Cuité",2
"250523 Cuité de Mamanguape",4
"250520 Cuitegi",23
"250527 Curral de Cima",3
"250530 Curral Velho",1
"250535 Damião",1
"250540 Desterro",2
"250560 Diamante",6
"250570 Dona Inês",2
"250580 Duas Estradas",6
"250590 Emas",1
"250600 Esperança",9
"250610 Fagundes",4
"250620 Frei Martinho",1
"250625 Gado Bravo",5
"250630 Guarabira",110
"250640 Gurinhém",18
"250650 Gurjão",1
"250260 Igaracy",10
"250680 Ingá",44
"250690 Itabaiana",33
"250700 Itaporanga",11
"250710 Itapororoca",8
"250720 Itatuba",1
"250730 Jacaraú",12
"250740 Jericó",16
"250750 João Pessoa",508
"251365 Joca Claudino",1
"250760 Juarez Távora",2
"250770 Juazeirinho",12
"250780 Junco do Seridó",4
"250790 Juripiranga",56
"250800 Juru",5
"250810 Lagoa",1
"250820 Lagoa de Dentro",3
"250830 Lagoa Seca",15
"250840 Lastro",1
"250850 Livramento",3
"250860 Lucena",23
"250870 Mãe d'Água",1
"250880 Malta",7
"250890 Mamanguape",45
"250900 Manaíra",2
"250905 Marcação",3
"250910 Mari",18
"250915 Marizópolis",20
"250920 Massaranduba",21
"250930 Mataraca",2
"250933 Matinhas",1
"250939 Maturéia",3
"250940 Mogeiro",11
"250950 Montadas",2
"250960 Monte Horebe",14
"250970 Monteiro",17
"250980 Mulungu",12
"250990 Natuba",1
"251000 Nazarezinho",2
"251010 Nova Floresta",1
"251020 Nova Olinda",3
"251050 Olivedos",1
"251080 Patos",113
"251090 Paulista",4
"251110 Pedra Lavrada",2
"251120 Pedras de Fogo",27
"251272 Pedro Régis",4
"251130 Piancó",14
"251140 Picuí",5
"251150 Pilar",13
"251160 Pilões",2
"251170 Pilõezinhos",3
"251180 Pirpirituba",20
"251190 Pitimbu",16
"251200 Pocinhos",3
"251203 Poço Dantas",1
"251210 Pombal",21
"251220 Prata",3
"251230 Princesa Isabel",8
"251240 Puxinanã",2
"251250 Queimadas",31
"251270 Remígio",3
"251275 Riachão do Bacamarte",4
"251276 Riachão do Poço",3
"251280 Riacho dos Cavalos",5
"251290 Rio Tinto",10
"251300 Salgadinho",1
"251310 Salgado de São Félix",10
"251315 Santa Cecília",2
"251320 Santa Cruz",2
"251330 Santa Helena",6
"251335 Santa Inês",1
"251340 Santa Luzia",2
"251370 Santa Rita",226
"251350 Santana de Mangueira",5
"251385 Santo André",1
"251392 São Bentinho",1
"251390 São Bento",9
"251396 São Domingos",1
"251394 São Domingos do Cariri",1
"251400 São João do Cariri",7
"250070 São João do Rio do Peixe",11
"251410 São João do Tigre",2
"251420 São José da Lagoa Tapada",6
"251430 São José de Caiana",1
"251450 São José de Piranhas",11
"251455 São José de Princesa",1
"251460 São José do Bonfim",3
"251470 São José do Sabugi",1
"251445 São José dos Ramos",5
"251490 São Mamede",1
"251500 São Miguel de Taipu",1
"251510 São Sebastião de Lagoa de Roça",3
"251520 São Sebastião do Umbuzeiro",1
"251530 Sapé",64
"251550 Serra Branca",8
"251560 Serra da Raiz",2
"251580 Serra Redonda",13
"251590 Serraria",1
"251593 Sertãozinho",2
"251597 Sobrado",7
"251600 Solânea",3
"251610 Soledade",6
"251620 Sousa",74
"251630 Sumé",5
"251640 Tacima",2
"251650 Taperoá",5
"251660 Tavares",1
"251670 Teixeira",6
"251675 Tenório",1
"251680 Triunfo",2
"251690 Uiraúna",9
"251700 Umbuzeiro",7
"251710 Várzea",1
"251720 Vieirópolis",1
"260005 Abreu e Lima",220
"260010 Afogados da Ingazeira",47
"260020 Afrânio",16
"260030 Agrestina",9
"260040 Água Preta",13
"260050 Águas Belas",29
"260060 Alagoinha",10
"260070 Aliança",63
"260080 Altinho",8
"260090 Amaraji",21
"260100 Angelim",9
"260105 Araçoiaba",78
"260110 Araripina",243
"260120 Arcoverde",61
"260130 Barra de Guabiraba",15
"260140 Barreiros",38
"260150 Belém de Maria",4
"260160 Belém do São Francisco",33
"260170 Belo Jardim",138
"260180 Betânia",4
"260190 Bezerros",34
"260200 Bodocó",32
"260210 Bom Conselho",19
"260220 Bom Jardim",30
"260230 Bonito",22
"260240 Brejão",3
"260250 Brejinho",1
"260260 Brejo da Madre de Deus",20
"260270 Buenos Aires",19
"260280 Buíque",43
"260290 Cabo de Santo Agostinho",723
"260300 Cabrobó",129
"260310 Cachoeirinha",21
"260320 Caetés",11
"260330 Calçado",6
"260340 Calumbi",19
"260345 Camaragibe",312
"260350 Camocim de São Félix",7
"260360 Camutanga",1
"260370 Canhotinho",26
"260380 Capoeiras",20
"260390 Carnaíba",7
"260400 Carpina",163
"260410 Caruaru",150
"260415 Casinhas",8
"260420 Catende",21
"260430 Cedro",2
"260440 Chã de Alegria",9
"260450 Chã Grande",23
"260460 Condado",65
"260470 Correntes",2
"260480 Cortês",11
"260490 Cumaru",11
"260500 Cupira",50
"260510 Custódia",73
"260515 Dormentes",18
"260520 Escada",99
"260530 Exu",73
"260540 Feira Nova",10
"260545 Fernando de Noronha",7
"260550 Ferreiros",15
"260560 Flores",24
"260570 Floresta",39
"260580 Frei Miguelinho",9
"260590 Gameleira",10
"260600 Garanhuns",46
"260610 Glória do Goitá",24
"260620 Goiana",135
"260630 Granito",21
"260640 Gravatá",85
"260650 Iati",3
"260660 Ibimirim",13
"260670 Ibirajuba",1
"260680 Igarassu",219
"260690 Iguaracy",8
"260760 Ilha de Itamaracá",80
"260700 Inajá",11
"260710 Ingazeira",8
"260720 Ipojuca",161
"260730 Ipubi",63
"260740 Itacuruba",7
"260750 Itaíba",46
"260765 Itambé",46
"260770 Itapetim",3
"260775 Itapissuma",126
"260780 Itaquitinga",37
"260790 Jaboatão dos Guararapes",1319
"260795 Jaqueira",14
"260800 Jataúba",4
"260805 Jatobá",14
"260810 João Alfredo",18
"260820 Joaquim Nabuco",2
"260825 Jucati",1
"260830 Jupi",12
"260840 Jurema",6
"260850 Lagoa de Itaenga",23
"260845 Lagoa do Carro",32
"260860 Lagoa do Ouro",4
"260870 Lagoa dos Gatos",12
"260875 Lagoa Grande",97
"260880 Lajedo",18
"260890 Limoeiro",54
"260900 Macaparana",18
"260910 Machados",15
"260915 Manari",24
"260920 Maraial",6
"260930 Mirandiba",13
"261430 Moreilândia",3
"260940 Moreno",77
"260950 Nazaré da Mata",12
"260960 Olinda",982
"260970 Orobó",13
"260980 Orocó",15
"260990 Ouricuri",170
"261000 Palmares",47
"261010 Palmeirina",1
"261020 Panelas",8
"261030 Paranatama",2
"261040 Parnamirim",17
"261050 Passira",69
"261060 Paudalho",57
"261070 Paulista",446
"261080 Pedra",15
"261090 Pesqueira",48
"261100 Petrolândia",53
"261110 Petrolina",1552
"261120 Poção",3
"261130 Pombos",61
"261140 Primavera",9
"261150 Quipapá",23
"261153 Quixaba",3
"261160 Recife",3190
"261170 Riacho das Almas",9
"261180 Ribeirão",11
"261190 Rio Formoso",27
"261200 Sairé",2
"261210 Salgadinho",5
"261220 Salgueiro",101
"261230 Saloá",1
"261240 Sanharó",9
"261245 Santa Cruz",15
"261247 Santa Cruz da Baixa Verde",4
"261250 Santa Cruz do Capibaribe",27
"261255 Santa Filomena",23
"261260 Santa Maria da Boa Vista",47
"261270 Santa Maria do Cambucá",2
"261280 Santa Terezinha",3
"261290 São Benedito do Sul",15
"261300 São Bento do Una",14
"261310 São Caitano",63
"261320 São João",6
"261330 São Joaquim do Monte",16
"261340 São José da Coroa Grande",62
"261350 São José do Belmonte",33
"261360 São José do Egito",24
"261370 São Lourenço da Mata",207
"261380 São Vicente Ferrer",15
"261390 Serra Talhada",154
"261400 Serrita",17
"261410 Sertânia",24
"261420 Sirinhaém",53
"261440 Solidão",6
"261450 Surubim",44
"261460 Tabira",23
"261470 Tacaimbó",5
"261480 Tacaratu",8
"261485 Tamandaré",60
"261500 Taquaritinga do Norte",10
"261510 Terezinha",9
"261520 Terra Nova",10
"261530 Timbaúba",56
"261540 Toritama",24
"261550 Tracunhaém",12
"261560 Trindade",147
"261570 Triunfo",5
"261580 Tupanatinga",11
"261590 Tuparetama",11
"261600 Venturosa",8
"261610 Verdejante",10
"261618 Vertente do Lério",5
"261620 Vertentes",28
"261630 Vicência",21
"261640 Vitória de Santo Antão",167
"261650 Xexéu",7
"270010 Água Branca",3
"270020 Anadia",8
"270030 Arapiraca",149
"270040 Atalaia",25
"270050 Barra de Santo Antônio",4
"270060 Barra de São Miguel",17
"270070 Batalha",2
"270100 Boca da Mata",5
"270110 Branquinha",11
"270120 Cacimbinhas",22
"270130 Cajueiro",30
"270135 Campestre",1
"270140 Campo Alegre",14
"270160 Canapi",5
"270170 Capela",6
"270180 Carneiros",11
"270190 Chã Preta",6
"270200 Coité do Nóia",13
"270210 Colônia Leopoldina",3
"270220 Coqueiro Seco",3
"270230 Coruripe",46
"270235 Craíbas",9
"270240 Delmiro Gouveia",80
"270250 Dois Riachos",10
"270255 Estrela de Alagoas",6
"270260 Feira Grande",4
"270280 Flexeiras",5
"270290 Girau do Ponciano",10
"270300 Ibateguara",1
"270310 Igaci",3
"270330 Inhapi",8
"270340 Jacaré dos Homens",1
"270350 Jacuípe",2
"270360 Japaratinga",5
"270370 Jaramataia",4
"270375 Jequiá da Praia",5
"270380 Joaquim Gomes",2
"270390 Jundiá",2
"270400 Junqueiro",3
"270410 Lagoa da Canoa",7
"270420 Limoeiro de Anadia",2
"270430 Maceió",571
"270440 Major Isidoro",10
"270450 Maragogi",25
"270460 Maravilha",1
"270470 Marechal Deodoro",36
"270480 Maribondo",6
"270500 Mata Grande",10
"270510 Matriz de Camaragibe",6
"270520 Messias",1
"270540 Monteirópolis",2
"270550 Murici",21
"270560 Novo Lino",4
"270570 Olho d'Água das Flores",21
"270580 Olho d'Água do Casado",6
"270600 Olivença",3
"270610 Ouro Branco",7
"270620 Palestina",11
"270630 Palmeira dos Índios",39
"270640 Pão de Açúcar",58
"270642 Pariconha",6
"270644 Paripueira",8
"270650 Passo de Camaragibe",2
"270660 Paulo Jacinto",1
"270670 Penedo",69
"270680 Piaçabuçu",12
"270690 Pilar",46
"270710 Piranhas",12
"270720 Poço das Trincheiras",3
"270730 Porto Calvo",9
"270740 Porto de Pedras",4
"270750 Porto Real do Colégio",3
"270760 Quebrangulo",8
"270770 Rio Largo",62
"270780 Roteiro",1
"270790 Santa Luzia do Norte",2
"270800 Santana do Ipanema",97
"270810 Santana do Mundaú",1
"270820 São Brás",6
"270830 São José da Laje",7
"270840 São José da Tapera",30
"270850 São Luís do Quitunde",2
"270860 São Miguel dos Campos",14
"270880 São Sebastião",7
"270890 Satuba",8
"270895 Senador Rui Palmeira",6
"270900 Tanque d'Arca",1
"270910 Taquarana",7
"270915 Teotônio Vilela",36
"270920 Traipu",3
"270930 União dos Palmares",69
"270940 Viçosa",12
"280020 Aquidabã",18
"280030 Aracaju",556
"280040 Arauá",4
"280050 Areia Branca",4
"280060 Barra dos Coqueiros",54
"280067 Boquim",13
"280070 Brejo Grande",3
"280100 Campo do Brito",18
"280110 Canhoba",3
"280120 Canindé de São Francisco",40
"280130 Capela",39
"280140 Carira",32
"280150 Carmópolis",10
"280160 Cedro de São João",2
"280170 Cristinápolis",3
"280190 Cumbe",1
"280200 Divina Pastora",2
"280210 Estância",36
"280230 Frei Paulo",3
"280240 Gararu",3
"280250 General Maynard",4
"280260 Gracho Cardoso",4
"280270 Ilha das Flores",9
"280280 Indiaroba",10
"280290 Itabaiana",140
"280300 Itabaianinha",17
"280310 Itabi",5
"280320 Itaporanga d'Ajuda",17
"280330 Japaratuba",10
"280340 Japoatã",6
"280350 Lagarto",76
"280360 Laranjeiras",16
"280370 Macambira",5
"280380 Malhada dos Bois",3
"280390 Malhador",2
"280400 Maruim",8
"280410 Moita Bonita",10
"280420 Monte Alegre de Sergipe",19
"280430 Muribeca",7
"280440 Neópolis",5
"280445 Nossa Senhora Aparecida",8
"280450 Nossa Senhora da Glória",15
"280460 Nossa Senhora das Dores",28
"280470 Nossa Senhora de Lourdes",10
"280480 Nossa Senhora do Socorro",238
"280490 Pacatuba",5
"280500 Pedra Mole",10
"280510 Pedrinhas",5
"280520 Pinhão",10
"280530 Pirambu",4
"280540 Poço Redondo",76
"280550 Poço Verde",41
"280560 Porto da Folha",21
"280570 Propriá",33
"280580 Riachão do Dantas",15
"280590 Riachuelo",10
"280600 Ribeirópolis",8
"280610 Rosário do Catete",7
"280620 Salgado",9
"280650 Santa Rosa de Lima",1
"280640 Santana do São Francisco",13
"280660 Santo Amaro das Brotas",6
"280670 São Cristóvão",137
"280680 São Domingos",2
"280690 São Francisco",4
"280700 São Miguel do Aleixo",4
"280710 Simão Dias",41
"280720 Siriri",4
"280730 Telha",2
"280740 Tobias Barreto",47
"280750 Tomar do Geru",16
"280760 Umbaúba",14
"290010 Abaíra",4
"290020 Abaré",6
"290030 Acajutiba",4
"290035 Adustina",13
"290040 Água Fria",5
"290070 Alagoinhas",271
"290080 Alcobaça",38
"290090 Almadina",8
"290100 Amargosa",4
"290110 Amélia Rodrigues",6
"290115 América Dourada",10
"290120 Anagé",25
"290130 Andaraí",43
"290135 Andorinha",19
"290140 Angical",24
"290150 Anguera",2
"290170 Antônio Cardoso",1
"290180 Antônio Gonçalves",23
"290190 Aporá",4
"290195 Apuarema",2
"290205 Araças",4
"290200 Aracatu",5
"290210 Araci",392
"290220 Aramari",2
"290225 Arataca",6
"290230 Aratuípe",4
"290240 Aurelino Leal",3
"290250 Baianópolis",13
"290260 Baixa Grande",7
"290265 Banzaê",7
"290270 Barra",149
"290280 Barra da Estiva",4
"290290 Barra do Choça",23
"290300 Barra do Mendes",10
"290310 Barra do Rocha",4
"290320 Barreiras",615
"290323 Barro Alto",7
"290330 Barro Preto",3
"290327 Barrocas",6
"290340 Belmonte",63
"290350 Belo Campo",2
"290360 Biritinga",5
"290370 Boa Nova",2
"290380 Boa Vista do Tupim",11
"290390 Bom Jesus da Lapa",239
"290395 Bom Jesus da Serra",6
"290400 Boninal",3
"290405 Bonito",8
"290410 Boquira",12
"290430 Brejões",4
"290440 Brejolândia",3
"290450 Brotas de Macaúbas",3
"290460 Brumado",83
"290470 Buerarema",11
"290475 Buritirama",63
"290485 Cabaceiras do Paraguaçu",1
"290490 Cachoeira",10
"290500 Caculé",16
"290510 Caém",8
"290515 Caetanos",6
"290520 Caetité",6
"290530 Cafarnaum",30
"290540 Cairu",3
"290550 Caldeirão Grande",3
"290560 Camacan",29
"290570 Camaçari",294
"290580 Camamu",8
"290590 Campo Alegre de Lourdes",37
"290600 Campo Formoso",72
"290610 Canápolis",11
"290620 Canarana",9
"290630 Canavieiras",66
"290650 Candeias",38
"290660 Candiba",1
"290670 Cândido Sales",60
"290680 Cansanção",10
"290682 Canudos",3
"290685 Capela do Alto Alegre",11
"290687 Capim Grosso",65
"290689 Caraíbas",2
"290690 Caravelas",20
"290700 Cardeal da Silva",4
"290710 Carinhanha",19
"290720 Casa Nova",159
"290730 Castro Alves",49
"290740 Catolândia",5
"290750 Catu",16
"290755 Caturama",2
"290760 Central",8
"290770 Chorrochó",4
"290780 Cícero Dantas",12
"290790 Cipó",10
"290800 Coaraci",3
"290810 Cocos",6
"290820 Conceição da Feira",2
"290830 Conceição do Almeida",3
"290840 Conceição do Coité",154
"290850 Conceição do Jacuípe",8
"290860 Conde",6
"290870 Condeúba",2
"290880 Contendas do Sincorá",3
"290890 Coração de Maria",4
"290900 Cordeiros",3
"290910 Coribe",12
"290920 Coronel João Sá",9
"290930 Correntina",50
"290940 Cotegipe",33
"290950 Cravolândia",1
"290960 Crisópolis",11
"290970 Cristópolis",14
"290980 Cruz das Almas",12
"290990 Curaçá",13
"291000 Dário Meira",9
"291005 Dias d'Ávila",54
"291010 Dom Basílio",1
"291030 Elísio Medrado",3
"291040 Encruzilhada",40
"291050 Entre Rios",17
"290050 Érico Cardoso",2
"291060 Esplanada",13
"291070 Euclides da Cunha",22
"291072 Eunápolis",373
"291075 Fátima",9
"291077 Feira da Mata",1
"291080 Feira de Santana",399
"291085 Filadélfia",59
"291090 Firmino Alves",1
"291100 Floresta Azul",1
"291110 Formosa do Rio Preto",37
"291120 Gandu",8
"291130 Gentio do Ouro",10
"291140 Glória",7
"291150 Gongogi",3
"291165 Guajeru",6
"291170 Guanambi",45
"291180 Guaratinga",56
"291185 Heliópolis",3
"291190 Iaçu",76
"291200 Ibiassucê",1
"291210 Ibicaraí",13
"291220 Ibicoara",15
"291240 Ibipeba",3
"291250 Ibipitanga",7
"291260 Ibiquera",9
"291270 Ibirapitanga",4
"291280 Ibirapuã",2
"291290 Ibirataia",10
"291300 Ibitiara",17
"291310 Ibititá",6
"291320 Ibotirama",137
"291330 Ichu",14
"291345 Igrapiúna",1
"291350 Iguaí",37
"291360 Ilhéus",91
"291370 Inhambupe",16
"291380 Ipecaetá",10
"291390 Ipiaú",25
"291400 Ipirá",11
"291410 Ipupiara",8
"291420 Irajuba",4
"291430 Iramaia",40
"291450 Irará",6
"291460 Irecê",82
"291465 Itabela",148
"291470 Itaberaba",154
"291480 Itabuna",223
"291490 Itacaré",17
"291500 Itaeté",10
"291510 Itagi",10
"291520 Itagibá",3
"291530 Itagimirim",9
"291535 Itaguaçu da Bahia",8
"291540 Itaju do Colônia",3
"291550 Itajuípe",24
"291560 Itamaraju",134
"291570 Itamari",3
"291580 Itambé",23
"291590 Itanagra",1
"291600 Itanhém",27
"291610 Itaparica",19
"291620 Itapé",4
"291630 Itapebi",14
"291640 Itapetinga",170
"291650 Itapicuru",26
"291660 Itapitanga",10
"291670 Itaquara",1
"291680 Itarantim",3
"291685 Itatim",15
"291690 Itiruçu",1
"291700 Itiúba",78
"291710 Itororó",6
"291720 Ituaçu",6
"291730 Ituberá",7
"291733 Iuiú",3
"291735 Jaborandi",2
"291740 Jacaraci",3
"291750 Jacobina",105
"291760 Jaguaquara",14
"291770 Jaguarari",26
"291780 Jaguaripe",6
"291790 Jandaíra",1
"291800 Jequié",120
"291810 Jeremoabo",24
"291820 Jiquiriçá",4
"291830 Jitaúna",4
"291835 João Dourado",7
"291840 Juazeiro",720
"291845 Jucuruçu",15
"291850 Jussara",16
"291855 Jussari",4
"291860 Jussiape",1
"291875 Lagoa Real",4
"291880 Laje",2
"291890 Lajedão",2
"291900 Lajedinho",2
"291905 Lajedo do Tabocal",2
"291910 Lamarão",6
"291915 Lapão",24
"291920 Lauro de Freitas",130
"291930 Lençóis",7
"291940 Licínio de Almeida",1
"291950 Livramento de Nossa Senhora",9
"291955 Luís Eduardo Magalhães",93
"291960 Macajuba",1
"291970 Macarani",16
"291980 Macaúbas",48
"291990 Macururé",2
"291992 Madre de Deus",3
"291995 Maetinga",5
"292000 Maiquinique",2
"292010 Mairi",35
"292020 Malhada",2
"292030 Malhada de Pedras",1
"292040 Manoel Vitorino",11
"292045 Mansidão",25
"292050 Maracás",7
"292060 Maragogipe",13
"292070 Maraú",2
"292080 Marcionílio Souza",6
"292090 Mascote",9
"292100 Mata de São João",29
"292105 Matina",2
"292110 Medeiros Neto",20
"292120 Miguel Calmon",12
"292130 Milagres",4
"292140 Mirangaba",4
"292145 Mirante",2
"292150 Monte Santo",12
"292160 Morpará",18
"292170 Morro do Chapéu",24
"292190 Mucugê",27
"292200 Mucuri",53
"292205 Mulungu do Morro",1
"292210 Mundo Novo",10
"292225 Muquém de São Francisco",22
"292230 Muritiba",6
"292240 Mutuípe",5
"292250 Nazaré",7
"292265 Nordestina",4
"292270 Nova Canaã",5
"292273 Nova Fátima",6
"292275 Nova Ibiá",2
"292285 Nova Redenção",1
"292290 Nova Soure",19
"292300 Nova Viçosa",49
"292303 Novo Horizonte",4
"292310 Olindina",21
"292320 Oliveira dos Brejinhos",10
"292330 Ouriçangas",2
"292335 Ourolândia",21
"292350 Palmeiras",6
"292360 Paramirim",2
"292370 Paratinga",14
"292380 Paripiranga",19
"292390 Pau Brasil",8
"292400 Paulo Afonso",146
"292405 Pé de Serra",7
"292420 Pedro Alexandre",3
"292430 Piatã",6
"292440 Pilão Arcado",41
"292450 Pindaí",2
"292460 Pindobaçu",42
"292465 Pintadas",3
"292467 Piraí do Norte",4
"292470 Piripá",3
"292480 Piritiba",7
"292490 Planaltino",4
"292500 Planalto",2
"292510 Poções",46
"292520 Pojuca",18
"292525 Ponto Novo",38
"292530 Porto Seguro",240
"292540 Potiraguá",6
"292550 Prado",63
"292560 Presidente Dutra",8
"292570 Presidente Jânio Quadros",5
"292575 Presidente Tancredo Neves",2
"292580 Queimadas",28
"292590 Quijingue",7
"292593 Quixabeira",8
"292595 Rafael Jambeiro",7
"292600 Remanso",112
"292610 Retirolândia",5
"292620 Riachão das Neves",36
"292630 Riachão do Jacuípe",16
"292640 Riacho de Santana",3
